GeneID	Bulk RNA-seq IU_0.5preg_n1	Bulk RNA-seq IU_0.5preg_n2	Bulk RNA-seq IU_0.5preg_n3	Bulk RNA-seq IA_0.5preg_n1	Bulk RNA-seq IA_0.5preg_n2	Bulk RNA-seq IA_0.5preg_n3
Xkr4	33	52	42	18	42	23
Gm19938	0	0	0	2	3	2
Gm10568	0	0	0	0	0	0
Rp1	42	85	43	1089	1746	1389
Sox17	4794	5660	4875	3081	3174	3162
Mrpl15	524	607	547	630	638	667
Lypla1	1035	1135	915	1183	1352	1484
Gm19860	3	12	5	4	10	4
Tcea1	1303	1565	1261	1756	1843	1839
Rgs20	7	46	18	205	374	276
Atp6v1h	1620	1679	1377	2130	2217	1998
Oprk1	0	1	0	2	6	8
Npbwr1	17	40	22	127	179	98
Rb1cc1	2081	2000	1595	2072	2661	2294
Alkal1	0	0	0	0	0	0
St18	4	4	1	2	0	2
Pcmtd1	3263	3574	2788	2624	3606	3333
Sntg1	8	9	11	10	33	23
Rrs1	691	736	567	982	817	892
Adhfe1	338	330	262	308	545	416
2610203C22Rik	38	39	29	14	40	22
Vxn	479	867	614	681	1226	1256
Mybl1	78	89	70	58	86	67
Vcpip1	1357	1282	1096	1206	1357	1348
1700034P13Rik	5	5	8	2	2	1
Sgk3	1845	2126	1931	1031	953	1158
NA	3	8	6	6	4	3
Mcmdc2	8	31	22	6	5	11
Snhg6	272	327	323	134	172	176
Snord87	2	2	2	2	2	1
NA	47	58	34	127	82	57
Tcf24	12	12	6	29	19	21
Ppp1r42	20	43	15	159	407	286
Cops5	1165	1207	949	1549	1849	1852
Cspp1	725	842	687	1792	2989	2089
Arfgef1	7417	7047	6279	7597	9985	9394
Cpa6	0	0	0	2	2	0
Prex2	312	320	255	76	170	153
A830018L16Rik	35	92	46	676	947	695
Gm17644	0	0	0	0	0	0
Sulf1	1706	2183	1595	1344	1718	1108
Slco5a1	512	538	370	337	269	262
Prdm14	1	0	0	0	1	0
Ncoa2	2653	3026	2311	2904	4531	3586
Tram1	6118	6294	5610	7453	6987	7921
Lactb2	397	528	435	930	977	1054
Xkr9	2	2	0	1	0	0
Gm5523	0	0	2	1	0	0
Eya1	1	7	1	3	13	16
Msc	117	107	146	11	23	26
Trpa1	0	1	0	0	0	0
Kcnb2	52	73	55	23	47	28
Terf1	425	400	350	331	505	399
Sbspon	429	449	456	69	107	58
Gm7634	0	0	0	0	0	0
4930444P10Rik	11	33	18	91	173	167
Rpl7	26818	26562	24725	13347	17714	17532
Rdh10	3272	3160	2418	985	1001	1156
Stau2	727	834	676	479	720	615
Ube2w	1213	1369	1160	999	1192	1138
Eloc	724	824	602	723	777	772
D030040B21Rik	0	1	1	3	15	11
Tmem70	883	987	846	725	996	994
Ly96	238	235	187	114	134	153
Jph1	70	73	59	61	56	65
Gdap1	10	12	3	35	38	37
Pi15	1185	1288	1428	171	401	370
Crispld1	561	802	598	306	545	747
Crisp4	0	0	0	0	0	0
Defb44-ps	0	0	0	0	2	0
Defb18	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
NA	0	0	0	0	0	0
Tfap2d	1	1	0	0	0	0
Tfap2b	0	0	0	0	0	0
Pkhd1	43	22	12	7	8	13
4930486I03Rik	0	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	9	2	0	0	0	0
Il17f	0	0	0	0	1	0
Mcm3	332	289	229	289	726	502
6720483E21Rik	9	18	18	13	44	33
Paqr8	1688	2469	1862	3753	4215	5379
Efhc1	484	712	456	2670	4812	3491
Tram2	164	141	105	83	107	95
Tmem14a	132	176	140	159	291	249
Gsta3	324	347	302	473	664	516
Gm4956	1	1	0	0	0	2
Khdc1a	5	0	1	7	3	4
Khdc1c	3	0	0	0	0	1
Khdc1b	2	0	0	1	0	1
Kcnq5	42	62	27	206	217	362
Rims1	341	252	209	4	12	7
