,IU_1.5preg_n1,IU_1.5preg_n2,IU_1.5preg_n3,IA_1.5preg_n1,IA_1.5preg_n2,IA_1.5preg_n3
Xkr4,1.4017142479743474,1.2434404470205698,1.4580177879093996,1.125659623873286,0.819481694387438,0.6432118600605118
Gm19938,0.11587910055589942,0.0,0.0,0.10864708251009561,0.050774384631327385,0.10309082593674401
Rp1,2.389601729354634,2.4727256075801813,2.3850229586291083,4.871061905235563,4.9842689159506515,5.0181417857714985
Sox17,6.7399559111517,7.113864082093978,6.989797400262823,5.429485108620936,5.465996211622339,5.3267111655307025
Mrpl15,3.9224385259370353,3.849111948503238,3.9360890030167726,3.7000277039892286,3.798215305725901,3.856214236427848
Lypla1,4.5750801862682495,4.550349079795854,4.507438537412861,4.330230919452483,4.338776275600352,4.3774718510963435
Gm19860,0.132343177709296,0.03783778584439465,0.021619249809095735,0.14464305399061453,0.1266516423639012,0.06879474040735298
Tcea1,4.910620693651898,4.855616601384277,4.851383670977287,4.773871025678659,4.887994636149886,4.8520157036372575
Rgs20,1.3625347433207493,1.3944254608323137,1.5407587551457311,3.3892568456849186,3.370387765501006,3.4531229811188813
Atp6v1h,4.8980742396863235,4.88121125177981,4.973725648699436,4.937763887340622,5.035435948632897,5.060289652832137
Oprk1,0.04975316179554384,0.0,0.0,0.0725104143275882,0.050774384631327385,0.13726656360149667
Npbwr1,1.454374990456242,1.5585767730756732,1.55833055974945,2.8206564375453764,3.1267850045399874,2.6051955523083756
Rb1cc1,4.966944401201505,5.023378411147068,4.954092437928607,5.329489659201427,5.37922249704331,5.323863011699012
Alkal1,0.06631630195449463,0.0,0.0,0.0,0.0,0.0
St18,0.132343177709296,0.07562153470526144,0.08637628881490021,0.14464305399061453,0.10141845818399237,0.0
Pcmtd1,5.661210044352091,5.649661516296399,5.606578353738389,5.64032523137718,5.589106660528986,5.598148877799606
Sntg1,0.3102330009219332,0.31639272979911365,0.5918449225149809,1.4972373398985364,1.4465163102446112,1.731739298325078
Rrs1,4.30912442367728,4.356902451117131,4.361403241133753,3.9878908482306024,4.232571521406227,3.9863602169681247
Adhfe1,3.5236740658374273,3.8029430084819644,3.8084433265599347,4.130547386253759,4.06526591705271,4.173464111663258
2610203C22Rik,0.6364037838813092,1.0469337283440212,0.573437994212539,0.8669809526435093,0.7425850677614706,0.6432118600605118
Vxn,3.2727871099351398,3.1669187119210087,3.334215805338089,3.6513449674674865,3.6179325902654424,3.6774297552428092
Mybl1,1.6735140908990687,1.2732887194817122,1.4955582150847615,1.7265013315046165,1.6711803262826557,1.472537174159387
Vcpip1,4.583930951126048,4.5841500360924945,4.525861307640537,4.57961750373711,4.5398727062182775,4.560609347216469
1700034P13Rik,0.132343177709296,0.03783778584439465,0.1078952064733929,0.0725104143275882,0.15180488899755137,0.10309082593674401
Sgk3,4.64154870615425,4.830860769200167,4.768982644894548,3.793273371736541,3.6527401948661637,3.6474052013698848
Mcmdc2,0.5232980475994854,0.22517323555083002,0.31888216581106305,0.38925235425925325,0.4883219245199213,0.30506664040583703
Snhg6,2.615782803457553,2.644355608165327,2.8184614643658485,2.4746427741309414,2.2879128979154886,2.2587606590133134
Snord87,0.06631630195449463,0.09447642905751569,0.12936447898853534,0.18045396002287395,0.025395372140716552,0.01721140461998657
Tcf24,0.5086945864091688,0.7137066890084887,0.573437994212539,1.0143527982628486,0.8925889028253841,0.43378579019351576
Ppp1r42,1.1534874090332032,0.9229716425165766,1.1029036524408233,3.201554725891112,3.4329279463424553,3.567181494002551
Cops5,4.548048044516952,4.579889833644818,4.614062425821998,4.7875700267027375,4.998765587265878,4.978888201387307
Cspp1,4.16906388960561,4.18074522725298,4.12194540674961,5.371167655359477,5.445820539266908,5.282063861970987
Arfgef1,6.046145547943587,6.026709449601988,6.053270425031405,6.554721916135737,6.569876428095518,6.66627626856813
Cpa6,0.08286129764253822,0.03783778584439465,0.0,0.10864708251009561,0.050774384631327385,0.0
Prex2,3.4251196580312504,3.292438576466477,2.984108798700877,3.2190933001537485,2.0279698608467127,2.010406866988724
A830018L16Rik,2.044873389851827,2.230471695174768,2.084139974543689,4.3709437983383275,4.526225634002412,4.388646469968502
Sulf1,5.1196616487353035,4.885795261563872,5.061850411545377,5.041708610903648,5.064090715048795,4.934570043978636
Slco5a1,3.274042157042569,3.094316741869514,2.9819246390347933,2.6674219619534805,2.1574873529949046,2.2225486955528804
Prdm14,0.0,0.018922278386907382,0.0,0.0,0.0,0.03441771330484361
Ncoa2,5.612611540275034,5.734270964641054,5.507993310751043,5.815334554281128,5.801477391762743,5.787962481291988
Tram1,5.87767894702097,6.028078609188048,5.952305270994088,5.965906264620815,6.026213412063678,5.981296087260451
Lactb2,3.4601020513287675,3.635242350964143,3.5494794865043486,4.048555355756231,4.160762642274194,4.1892382412109175
Xkr9,0.0,0.0,0.04322840321106,0.10864708251009561,0.10141845818399237,0.10309082593674401
Gm5523,0.06631630195449463,0.0567397732173626,0.06481740615577178,0.036279026976059794,0.0,0.01721140461998657
Eya1,0.16516040423595277,0.09447642905751569,0.1507746283893089,0.3553443057392484,0.050774384631327385,0.3214673474440701
Msc,1.3704795246728039,1.3307876851440137,1.4387618375585836,0.8669809526435093,0.4425755628712191,0.2553982166956112
Trpa1,0.09938369636815553,0.0567397732173626,0.04322840321106,0.0,0.0,0.0
Kcnb2,2.1940177665340515,2.330014216839161,2.3968000754890095,1.2277746388148614,1.207940231494442,1.5728441515192133
Terf1,3.32776457920267,3.4077434943829,3.540749456269862,3.5912187587153372,3.648785132716414,3.6826359972140894
Sbspon,5.042579597563545,5.2026096061193625,5.291367946245958,2.7211291938981206,2.7574421428606657,2.843002414379258
Gm7634,0.0,0.0,0.04322840321106,0.01814249757293295,0.0,0.0
4930444P10Rik,1.1629725924144485,0.621524232940046,0.9375372005995893,2.5505981746499065,2.555543212250991,2.563886919646307
Rpl7,7.476719046409973,7.5254898640911785,7.642355146411485,7.070019456481523,7.140720244709953,7.231117729552672
Rdh10,5.505003354482519,5.472525549790403,5.6529816347699375,4.569892595649947,4.572935094274924,4.527310961718805
Stau2,4.278322419017832,4.246231140159655,4.433753299284789,3.7352631155675287,3.7856205073242095,3.805466948228819
Ube2w,4.773817714717818,4.685152735917246,4.710796049893338,4.306060376860947,4.269477116064331,4.340043048483349
Eloc,4.209785030568919,4.171447222093409,4.161793088742169,3.874810910405688,3.941115310775283,4.024596002189073
D030040B21Rik,0.0,0.11329790020010028,0.1078952064733929,0.286365880587074,0.3484774933779238,0.2553982166956112
Tmem70,4.754572822490254,4.666819720976536,4.70337680048217,3.9681962416689167,3.920183054671954,3.9525709634348583
Ly96,2.5380659522702107,2.230471695174768,2.25909434336024,1.981025864379896,1.8723087737865942,2.1219330332297766
Jph1,2.2848538034625983,2.088366658713648,2.0946816920051265,1.520193051250688,1.262410075696816,1.3705199257760927
Gdap1,0.7809170737879249,0.4740526980777985,0.7825012765243263,1.8106807322896397,1.4799958276353384,2.0547378880082072
Pi15,4.630611142727137,4.4765356352655505,4.3826912788879415,3.3429640590480125,2.586432408700316,2.6783737077984666
Crispld1,3.7525520612445322,3.698073959776132,3.5217820430716533,3.076075710810256,2.5749591925639694,2.71078948725784
Defb44-ps,0.0,0.0,0.0,0.036279026976059794,0.0,0.0
Tfap2d,0.0,0.0,0.0,0.0,0.0,0.0
Pkhd1,2.425168572952655,2.795636893007739,1.9363224287460268,0.6588785286451206,0.3723104139784153,0.46500322610556705
Il17a,0.01659046913343815,0.0,0.0,0.0,0.025395372140716552,0.0
Il17f,0.0,0.0,0.0,0.0,0.050774384631327385,0.0
Mcm3,3.47149661084011,3.1378496837310546,3.1975507547413544,2.6774018912233726,2.5826224445680386,2.62771085583262
6720483E21Rik,0.4642847428318167,0.6372322727008415,0.4787789867359538,0.9178915865547179,1.0119406449180475,0.9743535271371323
Paqr8,4.484975874061579,4.619833807630825,4.644451542923261,4.809992797974049,5.057649986754586,5.045993864812123
Efhc1,4.104968688099608,4.138809746008988,4.31221591956204,5.938546437373392,6.161275428393373,6.142573575136013
Tram2,2.4280770382507106,2.092974285850073,2.068122614737824,2.274076873983706,2.079246026932417,2.0149263671615034
Tmem14a,3.1197810776939314,3.104531648139486,3.055679301196063,2.8141740458431546,2.822698999563598,3.0219500093183034
