GeneID,IU_Finnerty_Estrus_n1,IU_Finnerty_Estrus_n2,IU_Finnerty_Estrus_n3,IA_Finnerty_Estrus_n1,IA_Finnerty_Estrus_n2,IA_Finnerty_Estrus_n3
Gm21596,22.0,27.0,52.0,32.0,47.0,48.0
Prkag1,946.0,1046.0,1508.0,1130.0,1156.0,1583.0
Rspry1,1164.0,1345.0,1875.0,930.0,1234.0,1479.0
Muc20,1671.0,1565.0,814.0,295.0,397.0,339.0
Kcnn4,2122.0,2240.0,2370.0,1848.0,1734.0,1752.0
Tmed7,5213.0,5576.0,8089.0,4979.0,6003.0,5778.0
Pomp,2496.0,2214.0,3400.0,2715.0,2851.0,2766.0
Gatd3a,850.0,921.0,1359.0,697.0,852.0,995.0
Sh3pxd2b,9055.0,10183.0,13978.0,12075.0,12458.0,7216.0
B3gnt5,128.0,97.0,246.0,44.0,15.0,4.0
Dnajc3,10446.0,12125.0,13777.0,15572.0,16736.0,13984.0
Kif21b,676.0,1000.0,1049.0,431.0,447.0,425.0
Rab11fip5,2359.0,5017.0,5402.0,4754.0,3939.0,5983.0
Zfp963,227.0,310.0,408.0,196.0,292.0,256.0
Supv3l1,804.0,673.0,1175.0,643.0,744.0,761.0
Gm14137,105.0,139.0,146.0,38.0,43.0,73.0
Zfp780b,425.0,478.0,757.0,354.0,550.0,487.0
Dcaf12,3052.0,3354.0,4413.0,2939.0,3443.0,3649.0
Gm5122,6.0,4.0,15.0,0.0,7.0,18.0
Slc18a2,72.0,54.0,117.0,60.0,64.0,68.0
Magt1,3661.0,4017.0,4486.0,3835.0,4703.0,3308.0
Atg2a,2366.0,2908.0,3730.0,2158.0,2550.0,2587.0
Ptpn9,1989.0,1979.0,3197.0,1574.0,1875.0,1898.0
Slc6a14,300.0,214.0,807.0,14.0,8.0,14.0
Acyp1,550.0,608.0,975.0,606.0,596.0,798.0
Dennd4c,2286.0,2659.0,4374.0,2495.0,3061.0,2891.0
Prr3,736.0,820.0,1416.0,791.0,990.0,1045.0
Lama4,2387.0,5891.0,6614.0,1837.0,1586.0,1651.0
Zbtb11,932.0,1208.0,1580.0,967.0,1247.0,1521.0
Pthlh,32.0,168.0,80.0,77.0,35.0,76.0
Fbxl9,191.0,228.0,277.0,189.0,140.0,205.0
Chrm4,43.0,20.0,127.0,20.0,14.0,36.0
Zbtb40,491.0,616.0,762.0,631.0,698.0,687.0
Ssna1,844.0,777.0,1262.0,855.0,942.0,993.0
Zfyve16,1229.0,1282.0,1841.0,2042.0,2594.0,2612.0
Ctsd,11801.0,23146.0,47935.0,20592.0,16527.0,25925.0
Trem1,2.0,0.0,0.0,0.0,0.0,0.0
Tceal8,2396.0,2195.0,3276.0,2494.0,3235.0,2429.0
4930473A02Rik,24.0,19.0,38.0,18.0,11.0,31.0
Lrig1,7284.0,9662.0,15177.0,8531.0,8148.0,10972.0
Gpat4,2383.0,2839.0,4079.0,2245.0,2603.0,2589.0
Paip1,2433.0,2879.0,3886.0,2330.0,2600.0,2932.0
Spag7,2158.0,2204.0,3498.0,2309.0,2493.0,2806.0
Ormdl2,558.0,503.0,618.0,727.0,784.0,682.0
Npy2r,10.0,14.0,141.0,104.0,104.0,284.0
Ppa2,1136.0,1338.0,2029.0,1300.0,1428.0,1944.0
Cox6b1,4585.0,3722.0,5317.0,3506.0,4049.0,3844.0
Uvrag,995.0,1627.0,2208.0,1683.0,1531.0,2098.0
Alg12,830.0,892.0,1029.0,882.0,1012.0,783.0
Bcan,23.0,13.0,24.0,7.0,59.0,13.0
Hivep1,2702.0,4023.0,5126.0,3764.0,3768.0,4148.0
S100a9,0.0,8.0,6.0,4.0,0.0,0.0
Cebpd,688.0,1136.0,971.0,1102.0,943.0,1046.0
Med23,1419.0,1665.0,2589.0,1422.0,1680.0,1840.0
Tasor2,1691.0,2051.0,3146.0,1522.0,2127.0,1725.0
Isg15,331.0,626.0,461.0,182.0,87.0,91.0
Gm15483,23.0,21.0,52.0,22.0,19.0,10.0
Parl,1102.0,1112.0,1741.0,1101.0,1177.0,1546.0
Fus,7714.0,7190.0,12698.0,7362.0,10171.0,12159.0
Dennd5b,975.0,1063.0,1753.0,685.0,1089.0,1017.0
Bclaf3,380.0,481.0,689.0,386.0,497.0,632.0
S100a13,432.0,445.0,458.0,344.0,393.0,463.0
