Accession,luminal protein 0.5
Q99LN9,0.0
Q9D263,0.7272665659459177
A0A140T8N5,0.7164800363620598
P52927,0.0
P21300,0.7440906237020462
Q9Z320,0.6549482574277451
Q91ZX7,0.8604044243875499
A0A0G2JGU0,0.6437859598449601
Q9R0H5,0.6408912627581504
P47880,0.7277274055245176
G3X9Y6,0.7097006057860192
A0A075B5N6,0.6048713326838727
Q3TNA1,0.5884112624239108
Q8K1R7,0.5466007313482033
Q3V140,0.669942053103635
A0A075B5R0,0.5606174136012946
Q9R0M4,0.6100372516052237
P33587,0.6080822221848129
Q6P5C5,0.6332726146812788
Q91W82,0.0
E9QM73,0.0
Q3TYQ9,0.0
F7AI87,0.0
Q5SWU9,0.623643277422869
O35682,0.6055298726743579
Q3UZI5,0.608260386235155
Q61398,0.0
P31324,0.6161883820463365
P97927,0.5988190560147026
Q04207,0.0
A0A1L1SVG6,0.0
Q9JHL1,0.581174165771117
Q6ZWY3,0.0
E9PYP2,0.0
Q9CVW4,0.0
Q10470,0.6229276499757607
F8WHV1,0.0
P25688,0.5939305528059556
P49442,0.0
Q9Z0G0,0.5623036175754292
Q9ESX5,0.0
Q9EQ20,0.0
O88522,0.0
E9QKC6,0.0
P70445,0.0
Q6W4W7,0.0
Q91WU0,0.0
A0A1B0GSM3,0.5428135592455883
A0A087WS96,0.0
Q6P6I6,0.5238008672183767
Q9CQ86,0.0
Q8CD15,0.0
A0A087WRH2,0.0
Q80U44,0.4923427286374093
Q91VW5,0.5101271201847379
Q8BYM7,0.0
O35638,0.49056064613494327
Q147Z4,0.6447067194815371
P61021,0.0
E9QPB2,0.5236711688460998
P13595,0.0
Q62074,0.0
Q8BWR2,0.0
A0A075B5S6,0.0
Q3UJB0,0.0
Q9D1M7,0.0
A0A0R4J0S8,0.0
A0A494B9A6,0.0
Q62077,1.0
Q61335,0.0
Q9JHF7,0.0
P37913,0.6100186206901562
P30285,0.0
Q9QXK3,0.6254677532846116
Q3TKY6,0.0
B1AV77,0.5364552084932449
P61027,0.0
A2ACP1,0.0
O35609,0.0
P19785,0.0
Q921U8,0.0
P04247,0.0
A0A075B5R2,0.0
O70503,0.0
P07310,0.8035973276413301
A2AS37,0.0
H3BKU1,0.0
P62858,0.7140372375276774
Q3UYV9,0.0
Q80SY5,0.0
A0A6I8MWX0,0.513730740563961
Q8K0G5,0.0
P20065,0.0
Q91YS8,0.0
P21550,0.7569574815699609
G3X9Z5,0.8704659409659538
Q8C1M2,0.0
Q99LC8,0.6000491600018449
Q8C2E7,0.0
Q9CYN2,0.0
Q9CSH3,0.0
Q8BYN5,0.0
Q8BU14,0.0
Q9Z2V6,0.0
Q99J45,0.0
P55288,0.0
P02798,0.6965254044577008
A0A2I3BQE3,0.758525578102632
Q9WU63,0.6249891148090443
P97368,0.5596843147958162
Q9JIG8,0.0
D3YXN0,0.0
Q8VHK9,0.0
Q9D9V4,0.0
Q6P5B5,0.0
P08207,0.7806923091487674
Q8BMY7,0.8398712280226295
A0A2R8VHF9,0.628262335902494
E9QAT4,0.0
B1AVH5,0.0
Q80UK0,0.0
A0A286YD87,0.0
Q9QXZ7,0.0
Q19LI2,0.9006965524505461
Q8BYH7,0.0
Q64345,0.6675390387499639
Q62511,0.0
A0A1B0GR18,0.0
