Accession,luminal protein estrus
Q99LN9,0.8665537895518121
Q9D263,0.0
A0A140T8N5,0.0
P52927,0.8573277477241651
P21300,0.0
Q9Z320,0.0
Q91ZX7,0.0
A0A0G2JGU0,0.0
Q9R0H5,0.0
P47880,0.0
G3X9Y6,0.0
A0A075B5N6,0.0
Q3TNA1,0.0
Q8K1R7,0.0
Q3V140,0.0
A0A075B5R0,0.0
Q9R0M4,0.0
P33587,0.0
Q6P5C5,0.0
Q91W82,0.8184286175046166
E9QM73,0.8180024713909929
Q3TYQ9,0.0
F7AI87,0.8102622889197495
Q5SWU9,0.0
O35682,0.0
Q3UZI5,0.0
Q61398,0.7941828924886315
P31324,0.0
P97927,0.0
Q04207,0.8487635388490453
A0A1L1SVG6,0.8278994743034715
Q9JHL1,0.0
Q6ZWY3,0.7866081444556523
E9PYP2,0.9708621561481008
Q9CVW4,0.7854880778974218
Q10470,0.0
F8WHV1,0.7852852742465235
P25688,0.8345701107691446
P49442,0.0
Q9Z0G0,0.0
Q9ESX5,0.8025508094475544
Q9EQ20,0.7763216775462493
O88522,0.822092896214547
E9QKC6,0.8231532717303747
P70445,0.8208481744129819
Q6W4W7,0.77477787875994
Q91WU0,0.7744590893609796
A0A1B0GSM3,0.0
A0A087WS96,0.772576475142655
Q6P6I6,0.0
Q9CQ86,0.8891539396322575
Q8CD15,0.8837660129021536
A0A087WRH2,0.8611095184721291
Q80U44,0.0
Q91VW5,0.0
Q8BYM7,0.0
O35638,0.0
Q147Z4,0.8501320756755439
P61021,0.8344884386458651
E9QPB2,0.0
P13595,0.763131551005009
Q62074,0.0
Q8BWR2,0.8782446909130865
A0A075B5S6,0.0
Q3UJB0,0.8629021977931174
Q9D1M7,0.7623454827896308
A0A0R4J0S8,0.0
A0A494B9A6,0.0
Q62077,0.6874256673294061
Q61335,0.8781568487248881
Q9JHF7,0.7525770136575345
P37913,0.6121457226447297
P30285,0.8364650198450599
Q9QXK3,0.8279480381348487
Q3TKY6,0.0
B1AV77,0.7759177159356436
P61027,0.7937568732312054
A2ACP1,0.0
O35609,0.7398504306446135
P19785,0.7397548862532854
Q921U8,0.0
P04247,0.0
A0A075B5R2,0.0
O70503,0.7271267678909255
P07310,0.8878003906304536
A2AS37,0.0
H3BKU1,0.0
P62858,0.771047950465912
Q3UYV9,0.0
Q80SY5,0.721447562735848
A0A6I8MWX0,0.5747248761445806
Q8K0G5,0.7822558015822416
P20065,0.0
Q91YS8,0.7195864776965538
P21550,0.8044769942698753
G3X9Z5,0.7234077696956158
Q8C1M2,0.0
Q99LC8,0.8328504966007703
Q8C2E7,0.0
Q9CYN2,0.7142169721689903
Q9CSH3,0.8063253514029655
Q8BYN5,0.0
Q8BU14,0.7089944423870813
Q9Z2V6,0.8834845501102763
Q99J45,0.0
P55288,0.0
P02798,0.7883007866488537
A0A2I3BQE3,0.84450772227049
Q9WU63,0.8503122824833732
P97368,0.8052407157725179
Q9JIG8,0.0
D3YXN0,0.7740751644411833
Q8VHK9,0.6926929153534752
Q9D9V4,0.0
Q6P5B5,0.0
P08207,0.8892940597321466
Q8BMY7,0.7440238896108661
A0A2R8VHF9,0.6796963275968209
E9QAT4,0.6827169412154072
B1AVH5,0.0
Q80UK0,0.8579979003834545
A0A286YD87,0.0
Q9QXZ7,0.6794785615265458
Q19LI2,1.0
Q8BYH7,0.7575484270175806
Q64345,0.7715184551220469
Q62511,0.6714295979395027
A0A1B0GR18,0.8178303235652814
