Accession	luminal protein 2.5
E9QPE7	891266452.5
Q8BTM8	1186988682
E9PVG8	652253562
P07724	20362061718
P01027	1032048565
Q9JHU4	675127071.7
Q921I1	3668021556
P26039	331120238
Q8VDD5	340338307.5
Q61838	673465172.5
Q80X90	229177611
P19096	202225835
P08071	249459187
E9Q616	645333936.5
Q6PDN3	228925952.9
Q64727	410092678.3
A0A087WSN6	89319607.42
Q68FD5	163027869.9
P57780	265432459.1
Q01853	302175960.4
P63260	4186963985
P58252	690052547.4
Q3U2G2	130804637.1
F8WIT2	432980559.9
P28665	239172259.7
Q8VHX6	71673811.28
P11499	804851215.7
P20918	209173171.3
P63017	537330055
P06909	440310742.1
P13020	685237222.9
Q6URW6	332194631.8
P99024	375422988.1
P21614	398234536.9
P10126	879909661.5
G3X8Q5	1546335604
Q02053	152724586.7
E9Q0B5	113510584.2
Q9JKF1	113509587.9
Q62261	260195356.7
P05064	462978569.8
P16546	70573912.97
P52480	369546576.1
A0A0R4J0I1	753534349.2
Q9D1A2	192529680.7
P24527	135384228.1
P26040	284433757.2
Q8CGC7	61034989.09
P37804	552334471
P15626	976251636.3
P27546	38295280.7
Q91X72	684746551.7
E9Q5I3	94540689.9
Q61879	54766486.45
O08677	261629876
Q9DBD0	62902556.8
Q8K0E8	240091945.5
Q9D7Z6	55782725.75
Q8VCM7	147986970.9
P23116	256685976.3
P08113	130437780.4
Q9CWJ9	101004674.1
O08553	70711738.02
Q8BFW7	81044899.63
Q61768	34176490.1
Q8CI94	102004891.5
Q9Z1Q9	56535708.52
A0A0A0MQF6	729004278.5
Q00897	1345695811
P30416	117120532
P97449	66577392.48
Q04447	360792963.4
A1BN54	103267343
Q61598	132332182.2
P17563	149420558
P06728	251033503
Q922D8	368320982.7
Q8CIE6	57411211.16
P27773	224151626.8
Q00612	127487921.1
P17182	706596873.6
E9PV24	163508621.3
Q61781	1116002915
P60843	116761107.5
P09411	370696903.3
Q9WU78	45493715.58
P62259	364940821.1
O55029	43000816.38
Q8VCT3	44334429.69
Q922U2	1511073001
Q8BND5	29230041.81
Q6ZQ38	157252298.7
P10649	990956357
A0A0R4J071	2699508.359
Q922B2	63560175.49
P20029	192984357
Q78PY7	68131488.19
P45376	144920393
P42932	138006394.5
P40142	336443734
P80318	81900749.05
P21981	101092673.4
P26041	121164730.6
B8JJN0	78002497.06
P40124	131263459.3
A6X935	34537518.94
Q9D0F9	90773057.07
P05213	212824183.5
P19221	50629053.88
Q00623	1246646927
O88342	113499950.1
Q99K51	216623717.7
Q3UU35	47184250.41
Q9QXS1	40469769.89
P07356	277204465.6
P17751	281571605.7
P35700	567760707.7
Q61702	24970854.78
P07901	192614332.3
Q91WT9	94054970.67
Q3V117	45294410.84
O88569	1012431753
P24549	87449169.03
O09131	406148645.1
P63158	251952927.6
P11983	34054127.01
P19001	837215889.6
Q543K9	91174351.79
Q3UPL0	30985627.84
Q11011	60054346.59
Q7TSV4	76072582.97
A8DUK4	2706003511
O70209	126409201.9
P80313	55018329.19
Q76MZ3	72731905.3
E9Q557	64934891.93
A0A1B0GSX0	347672553.6
P60335	79109912.81
Q8C1A5	48073611.84
Q9DBJ1	213273485.2
B2M1R6	107402704.5
Q9CPY7	60181162.77
Q501J6	43368234.06
O35639	61233899.2
P56399	406403037.9
P10107	202531877.9
Q9DCD0	335229908.8
Q9D8E6	58454578.33
E9QA15	46500253.95
Q64737	40626620.2
P29341	51568137.06
Q9QZE5	27222775.38
Q5SUR0	58685139.09
P01029	144546179.7
P70441	62842501.27
Q99JY9	95082099.09
O89020	64428417.34
Q9Z1Z0	27487479.05
Q9CWK8	50227118.28
Q61699	33357526.63
P10605	34698766.89
Q99KC8	42081692.49
P23953	414580514.5
P20152	42375502.88
P47856	11987372.55
Q61233	104091457.5
P12658	222249602.5
A0A087WS16	21409966.09
P00920	88672849.47
E9PWE8	72998760.18
Q8JZQ9	40031143.63
P50580	62710000.11
Q3U1J4	22642033.13
P17742	593227828
P62960	19301344.72
Q02257	43272632.59
P14211	94472544.06
P09405	113113445.7
P48722	29558053.88
Q11136	22484953.58
Q61696	92225095.53
Q8BZF8	42922765.77
P46471	21973209.59
P06745	132422921.9
Q8BGQ7	29163736.72
P50247	181515927
Q6GT24	116901940
Q8R146	14273753.47
Q8BL66	76017029.07
Q80T06	79323796.09
P80314	65796364.97
Q91VB8	2519036732
P28271	61681704.3
P06684	15265650.78
P32261	171588970.6
P08003	66353928.11
P19157	197054196.1
O70570	30581439.25
Q62523	78918897.69
E9PYH0	14140883.69
P62962	214450414.7
P10518	70375345.44
Q8VDM4	33461654.09
P97447	102913776.7
P62908	51774376.85
Q9D0I9	19733606
Q8BG05	67805665.95
O88844	139420627.7
Q00519	58955053.77
P63101	254651378.4
Q9CZ44	29348838.44
P48036	393467762.7
Q60864	71178066.03
Q9EQK5	31432804.97
P50446	171828549.3
Q8VDJ3	15444207.84
P26645	27279667.47
P47754	33186669.91
P68040	67910879.34
P29699	323914346.4
Q3U0V1	38258020.71
A0A498WGD8	23033011.72
E9PZF0	155623871.7
P48758	106878448.2
P07758	538157018.2
Q60854	68140105.88
P80316	78251490.13
Q60710	25440276.94
Q62318	33580946.52
P05063	181259313.5
P09103	109056407.8
Q3TXS7	24290503.16
P97429	60199438.84
A2AMW0	72058381.3
Q8CIB5	33696632.34
Q3THS6	18857236.16
Q08642	31138537.51
Q9WVA4	114803077.5
P11352	72305482.72
Q9CPX4	83166701.1
Q9JHR7	27439331.92
P50396	35103982.31
Q80X19	17588083.86
Q99PL5	58043368.52
Q8R1B4	17703858.63
Q9QYB1	260329543.9
A0A6I8MX27	171148279.2
Q8BU30	22702432.85
P97371	81989557.63
Q9CPV4	50340372.22
Q62010	45775957.92
A0A0A6YVP0	74881896.08
Q6A0A9	8689304.781
Q9R098	3580781
O08529	132190888.3
O70133	9059099.068
Q8CIN4	67230169.08
O08739	30480718.58
Q8R0Y6	11481548.36
P18760	320861297.7
P12382	18944012.8
B2RQC6	14933421.04
Q7TMY8	12164314.93
Q9D0E1	10335600.52
Q3UW53	29466912.75
Q03401	57123667.84
P00342	3633891.375
P55264	93880814.89
A0A7N9VSW1	37071768.96
Q9QUI0	26860862.35
P80315	70714669.37
P15105	41756381.88
Q8BJY1	19696318.95
Q9D819	42400710.3
Q19LI2	36782176.56
Q9JIF7	26592247.09
G3UXX3	40734059.91
Q91WQ3	34422012.96
Q99KQ4	9276714.938
P18654	13019554.82
Q3TVK3	23881453.64
P51125	12502079.97
E9QK48	27999869.63
Q9QUR6	31179579.63
P14873	12209625.5
P70296	218084028.1
P68033	129138806.6
Q91ZJ5	55028181.02
A2A513	1480356545
Q5XJY5	34339524.13
P68510	110610804.5
P28798	11521159.17
Q64514	6221977.406
Q8K183	154060000.4
P62715	110384854.2
Q8BG32	94863494.02
Q9Z2X1	97526574.5
Q8CI51	31078016.13
P01872	100343550.9
O70400	41791889.2
P03958	10494352.22
Q5SQ27	43381895.58
Q91X52	80963430.22
Q91VI7	97974198.69
Q01279	6401107.063
Q07076	21487198.09
P56959	37534240.34
P68254	60984270.84
P16045	132607361.3
B2RU69	14517888.28
Q61129	50363979
Q07797	7239643.273
Q8BH64	84354749.88
E9Q7Q3	49907585.83
P97351	61306185.47
Q9JK81	253009983.1
P08228	468557847.1
P80317	48943737.67
Q93092	589527080
Q61171	83868993.63
Q9Z0S1	32974021.76
Q6ZWX6	21949913.94
P05201	103603083.3
Q8BHN3	23587512.66
E9Q3M3	17057785.34
