Accession	luminal protein estrus
E9QPE7	477651245
Q8BTM8	622314086.8
E9PVG8	379560954.7
P07724	15974975461
P01027	699377926.7
Q9JHU4	321197481.8
Q921I1	1932159010
P26039	156713566.1
Q8VDD5	221282132.1
Q61838	439801537.9
Q80X90	117048951.9
P19096	133662815.5
P08071	184662369.5
E9Q616	340235442.2
Q6PDN3	121805789.9
Q64727	195865210.8
A0A087WSN6	63626634.36
Q68FD5	89126137.74
P57780	88866558.83
Q01853	183766869.7
P63260	2343784728
P58252	433772158.8
Q3U2G2	91826203.15
F8WIT2	322043741.3
P28665	168673328.4
Q8VHX6	33415703.25
P11499	484236006.2
P20918	134449833.1
P63017	355151427.6
P06909	125786479.6
P13020	417770163.8
Q6URW6	451691963.7
P99024	258931713
P21614	199432254.5
P10126	653163929
G3X8Q5	1339673230
Q02053	107453114.2
E9Q0B5	48135047.69
Q9JKF1	66491831.37
Q62261	94994319.73
P05064	270338855.2
P16546	30936597.93
P52480	261438905
A0A0R4J0I1	414889643.9
Q9D1A2	282354167.7
P24527	79214192.31
P26040	174884360.5
Q8CGC7	55078678.26
P37804	298989519.6
P15626	578357761
P27546	24714846.67
Q91X72	346565082.3
E9Q5I3	14834593.87
Q61879	57636628.27
O08677	150833965.6
Q9DBD0	30728376.83
Q8K0E8	165563238.4
Q9D7Z6	57441519.27
Q8VCM7	90394733.22
P23116	189036416.1
P08113	98336406.9
Q9CWJ9	71937925.02
O08553	38250818.58
Q8BFW7	29874633.8
Q61768	19072563.84
Q8CI94	59533360.59
Q9Z1Q9	35458988.63
A0A0A0MQF6	519932019.7
Q00897	739508853.6
P30416	92445926.79
P97449	63620846.25
Q04447	174358236.1
A1BN54	48169505.37
Q61598	95692801.77
P17563	66577914.38
P06728	153822605.6
Q922D8	159357858.5
Q8CIE6	38842278.74
P27773	165446820.1
Q00612	144839098.1
P17182	467942836.1
E9PV24	105308076.1
Q61781	402264823.1
P60843	87504980.63
P09411	196778024.7
Q9WU78	30631480.78
P62259	249507650.6
O55029	18581172.78
Q8VCT3	41039042.63
Q922U2	520686334.1
Q8BND5	24013095.55
Q6ZQ38	83198867.1
P10649	526503253
A0A0R4J071	2119968.068
Q922B2	45498979.65
P20029	124425133.2
Q78PY7	36805379.96
P45376	77461923.59
P42932	91641049.33
P40142	235945860.5
P80318	62572242.23
P21981	89031126.92
P26041	57088239.99
B8JJN0	44157668.83
P40124	88177348.22
A6X935	24527636.18
Q9D0F9	49405720.63
P05213	141697118.2
P19221	27633622.8
Q00623	785541637.3
O88342	78379000.32
Q99K51	264057890
Q3UU35	39618484.97
Q9QXS1	16345953.17
P07356	135902017.9
P17751	208653718.4
P35700	357849083.4
Q61702	10449192.8
P07901	96148414.3
Q91WT9	94149346.27
Q3V117	30796279.73
O88569	958235939.4
P24549	28016047.23
O09131	450217848.6
P63158	166240618.9
P11983	26465039.37
P19001	348270448.6
Q543K9	76592294.2
Q3UPL0	18336717.66
Q11011	46401352.2
Q7TSV4	36569481.78
A8DUK4	1000614255
O70209	62160063.52
P80313	36932403.48
Q76MZ3	38847602.13
E9Q557	30078329.69
A0A1B0GSX0	239286798.2
P60335	48838723.77
Q8C1A5	25877360.77
Q9DBJ1	135207780.8
B2M1R6	72581713.71
Q9CPY7	41205591.18
Q501J6	21058566.95
O35639	43773100.27
P56399	159396079.6
P10107	116740951.1
Q9DCD0	142307262.7
Q9D8E6	37502895.3
E9QA15	19284867
Q64737	18287321.41
P29341	33186089.61
Q9QZE5	16380156.73
Q5SUR0	25565397.38
P01029	62325074.5
P70441	35366891.16
Q99JY9	54682524.77
O89020	30659795.22
Q9Z1Z0	15425986.3
Q9CWK8	35870433.02
Q61699	13062534.2
P10605	32735807.72
Q99KC8	23735004
P23953	250959847.6
P20152	11640603.96
P47856	12496412.64
Q61233	41345428.13
P12658	200693558.6
A0A087WS16	18128634.71
P00920	105647570.1
E9PWE8	37918189.7
Q8JZQ9	19824674.65
P50580	56772133.92
Q3U1J4	17484040.78
P17742	427956219.4
P62960	9507347.152
Q02257	19229343.27
P14211	68719999.7
P09405	88142990.01
P48722	9061191.5
Q11136	19708567.16
Q61696	67274257.24
Q8BZF8	18385461.81
P46471	16756656.48
P06745	92838562.5
Q8BGQ7	20287697.69
P50247	99186851.78
Q6GT24	93542211.66
Q8R146	12075248.77
Q8BL66	25748342.38
Q80T06	55818231.66
P80314	39100149.67
Q91VB8	888035983.3
P28271	38451135.12
P06684	8156563.344
P32261	86742308.63
P08003	46767549.64
P19157	143315104.3
O70570	17088492.07
Q62523	32227590.65
E9PYH0	6417276.109
P62962	132252618.9
P10518	42408531.48
Q8VDM4	21176179.57
P97447	34639474.41
P62908	40786258.78
Q9D0I9	18486389.66
Q8BG05	45127805.02
O88844	70937273.09
Q00519	27766871.98
P63101	192815496.6
Q9CZ44	16837654.09
P48036	278856779.2
Q60864	40656719.31
Q9EQK5	23945575.94
P50446	40402085.66
Q8VDJ3	13979429.06
P26645	21536655.45
P47754	18989118.66
P68040	49840147.69
P29699	225336917
Q3U0V1	20457778.89
A0A498WGD8	15315148.27
E9PZF0	108057410.9
P48758	57805794.31
P07758	321148151.2
Q60854	40473802.73
P80316	62004422.13
Q60710	16886116.78
Q62318	18363264.75
P05063	86481367.09
P09103	76103980.03
Q3TXS7	18398491.95
P97429	33204355.06
A2AMW0	36658098.34
Q8CIB5	12616551.36
Q3THS6	13725783.47
Q08642	66068080.89
Q9WVA4	61255403.41
P11352	55142818.5
Q9CPX4	37590259.56
Q9JHR7	18144646.03
P50396	22722624.2
Q80X19	16020875.89
Q99PL5	17126501.32
Q8R1B4	22638494.25
Q9QYB1	113287882.7
A0A6I8MX27	71490048.05
Q8BU30	15796988.76
P97371	61016276.41
Q9CPV4	35380814.13
Q62010	43293678.63
A0A0A6YVP0	26491119.09
Q6A0A9	5856752.547
Q9R098	1792336.729
O08529	176617342.2
O70133	7373098.328
Q8CIN4	29474132.48
O08739	21760335.18
Q8R0Y6	10843538.47
P18760	240509607.8
P12382	11528573.98
B2RQC6	9074990.973
Q7TMY8	6612706.484
Q9D0E1	7856402.938
Q3UW53	13838276.83
Q03401	30653237.19
P00342	4319889.563
P55264	57083384.77
A0A7N9VSW1	12879373.97
Q9QUI0	18148101.44
P80315	33890361.38
P15105	24938961.89
Q8BJY1	15505284.89
Q9D819	31903448.08
Q19LI2	7831789.648
Q9JIF7	19649841.13
G3UXX3	25633470.32
Q91WQ3	32889426.34
Q99KQ4	8374936.797
P18654	11260876.28
Q3TVK3	15360447.85
P51125	5958047.197
E9QK48	17279088.02
Q9QUR6	23730472.35
P14873	4837420.086
P70296	136352616.1
P68033	74486459.13
Q91ZJ5	49486680.37
A2A513	451739486.8
Q5XJY5	18370005.29
P68510	65344076.75
P28798	5637625.852
Q64514	5008060.281
Q8K183	80852228.48
P62715	46825358.84
Q8BG32	46409683.2
Q9Z2X1	62987251.88
Q8CI51	10590114.44
P01872	47167476.68
O70400	25051971.43
P03958	16675613.13
Q5SQ27	928969.2031
Q91X52	73386484.78
Q91VI7	67079141.75
Q01279	7794813.609
Q07076	20635685.01
P56959	19657924.14
P68254	34493023.95
P16045	66902365.11
B2RU69	8170019.406
Q61129	25838833.94
Q07797	12528262.86
Q8BH64	75152893.73
E9Q7Q3	23216543.68
P97351	44223212.81
Q9JK81	108724737.8
P08228	223602453.7
P80317	40832561.03
Q93092	288881674
Q61171	45799524.02
Q9Z0S1	13596580.64
Q6ZWX6	15958865.45
P05201	38611667.7
Q8BHN3	20683516.36
E9Q3M3	9572724.469
Q99KJ8	8095190.75
Q9Z2U1	29118127.39
O54990	3390706.914
P62141	19424088.23
Q8BH61	8058828.328
Q9Z0N1	27721571.15
E9QN99	44100742.3
P03953	58448913.81
Q9JII6	68885967.34
Q8C3V4	166248822.7
Q9Z1N5	30936312.31
Q61133	13587689.69
P47791	28268368.96
P62192	20023155.05
P27659	27091710.65
P39054	13658997.86
Q01339	29517342.77
E9Q9E1	5090539.621
P46935	10013819.48
Q8R016	28678065.4
P62242	31523706.05
Q61792	19593149.48
Q9D8N0	40527730.38
P19324	8061949.469
G5E924	10287067.62
Q9Z1F9	11437913.42
Q9R0P5	194681584.5
P97315	102746106.4
Q3THK7	8352694.275
P12970	39586858.03
Q60973	11844942.08
P39654	14563913.95
P61161	42373876.25
O88544	12315634.72
Q63844	44589198.7
Q99K85	14435561.61
A0A0A6YXL6	65397331.88
Q99KK7	32323438.91
Q61703	15703484.54
P97494	15370507.89
P70398	3188692.094
P49312	42936641.03
Q99J77	24994843.42
Q61362	326796.9766
P08249	7616419.625
O08997	119073333.9
E9Q555	22576722.15
Q9JLJ2	29388714.11
P26883	32106063.88
Q91VR5	14355333.66
Q99PT1	94830817.06
Q9ERK4	14538893.26
Q8BKC5	19229240.21
Q80UG5	13348532.09
P16015	45615202.47
P62196	10928227.78
