Accession,luminal protein 1.5
E9QPE7,1.5084202240182034
Q8BTM8,2.093253177933846
E9PVG8,0.9430063774714429
P07724,55.51845779058781
P01027,2.5256772498213165
Q9JHU4,0.8673978196428205
Q921I1,7.740645701308314
P26039,0.49471538016263955
Q8VDD5,0.6375098308925832
Q61838,1.5576603041702235
Q80X90,0.279397327238632
P19096,0.2942780139398687
P08071,1.2440774934561478
E9Q616,1.6135141003829747
Q6PDN3,0.33145769622516036
Q64727,0.6940863711958302
A0A087WSN6,0.1340070637871625
Q68FD5,0.19197071321393647
P57780,0.23000595073128582
Q01853,0.4935907667653465
P63260,8.024418882642964
P58252,1.5817949092132806
Q3U2G2,0.1932784726981157
F8WIT2,0.8527457369402068
P28665,0.5014125332858512
Q8VHX6,0.03065020220272791
P11499,1.5469973789755067
P20918,0.35070977241066364
P63017,0.9893805064942299
P06909,0.6134372958685368
P13020,1.2652098993406509
Q6URW6,1.9105696774823155
P99024,0.794965938085703
P21614,0.7073206106609449
P10126,1.8037999020266817
G3X8Q5,4.3559590994810256
Q02053,0.22916041062056405
E9Q0B5,0.1795795128151613
Q9JKF1,0.1454773148866326
Q62261,0.20353261774946335
P05064,0.9296673788587193
P16546,0.048998424675840674
P52480,0.8523671776462673
A0A0R4J0I1,1.54615427667171
Q9D1A2,0.49853425233139537
P24527,0.13049883920753916
P26040,0.33161828830919876
Q8CGC7,0.09741136238044831
P37804,1.0832587040217005
P15626,2.0996650845760754
P27546,-0.005247963078237981
Q91X72,1.332010464942929
E9Q5I3,-0.034242466842598344
Q61879,0.07502311040897554
O08677,0.4950146492095671
Q9DBD0,0.03339419193968724
Q8K0E8,0.4446107093941417
Q9D7Z6,0.05251196158636445
Q8VCM7,0.24298828505827685
P23116,0.27228850448168057
P08113,0.1541239822079681
Q9CWJ9,0.12987884045629847
O08553,0.046112776143554045
Q8BFW7,0.04077726865602019
Q61768,-0.02008892305066281
Q8CI94,0.12010002460128245
Q9Z1Q9,0.010250040017597297
A0A0A0MQF6,1.7121336075883513
Q00897,3.219058652461121
P30416,0.14940043060180438
P97449,0.050068359294239195
Q04447,0.6127878942139076
A1BN54,0.06469123788623715
Q61598,0.1658683689553941
P17563,0.21290287982044515
P06728,0.47045232647521845
Q922D8,0.3065385468226474
Q8CIE6,0.04319176266978452
P27773,0.41107278293252725
Q00612,0.22189453358697936
P17182,1.6467999587324764
E9PV24,0.29976008979195945
Q61781,0.9037052355621176
P60843,0.1932654440664574
P09411,0.7481152216541507
Q9WU78,0.004747302997579634
P62259,0.7119812718766726
O55029,-0.01818567666513994
Q8VCT3,0.03559727837265563
Q922U2,1.2608464452994803
Q8BND5,-0.006021652246080387
Q6ZQ38,0.19040531193680507
P10649,1.3051824553369022
A0A0R4J071,-0.07438592280288912
Q922B2,0.06947184079989159
P20029,0.26391511448848576
Q78PY7,0.06493629501115566
P45376,0.20805016062096146
P42932,0.22656651868503344
P40142,0.5535641848612728
P80318,0.11133711432254209
P21981,0.5207973072705705
P26041,0.154694599603975
B8JJN0,0.10811203598905114
P40124,0.1919808547806085
A6X935,-0.00017493564067409714
Q9D0F9,0.06571288133003336
P05213,0.43210795516342754
P19221,0.016577667486196046
Q00623,2.771078679918275
O88342,0.17177178616364766
Q99K51,0.5070013272269809
Q3UU35,0.19243923941456037
Q9QXS1,-0.01884518596063995
P07356,0.5468934066083998
P17751,0.5734612366709723
P35700,0.8226799109714702
Q61702,-0.012374447719742776
P07901,0.32595384012694545
Q91WT9,0.028490605718820183
Q3V117,0.019717880560831826
O88569,3.170144210310796
P24549,0.07833555664290817
O09131,0.8822934582462507
P63158,0.5413726979349387
P11983,-0.010495491143148905
P19001,1.0518642496164166
Q543K9,0.16135659219826937
Q3UPL0,-0.010399939138572355
Q11011,0.048414942124987925
Q7TSV4,0.06547669670427977
A8DUK4,6.157231036377989
O70209,0.1545699567719728
P80313,0.06821047569196094
Q76MZ3,0.0604386299972131
E9Q557,0.010858810452565728
A0A1B0GSX0,0.9160283338930019
P60335,0.06563965421822882
Q8C1A5,0.013339790666347516
Q9DBJ1,0.3973810595087662
B2M1R6,0.15661116868420455
Q9CPY7,0.08226598595632291
Q501J6,0.011555460396158146
O35639,0.09129247936161015
P56399,0.606591337437066
P10107,0.37616790932983
Q9DCD0,0.3366859778014386
Q9D8E6,0.02266615419976025
E9QA15,-0.01397495578282629
Q64737,-0.020028125914702842
P29341,0.026877744700630174
Q9QZE5,-0.026532614560212935
Q5SUR0,0.02776746087794774
P01029,0.23144112600108352
P70441,0.12857824860364075
Q99JY9,0.10639093770396138
O89020,0.05018021118223718
Q9Z1Z0,-0.02774646662778771
Q9CWK8,0.0222067359380383
Q61699,-0.01882676892383459
P10605,0.011393896916159524
Q99KC8,0.01889116595711241
P23953,0.8872094849135235
P20152,-0.027640396707894175
P47856,-0.01789366318470103
Q61233,0.10074327820878451
P12658,0.2960557909993477
A0A087WS16,-0.043083554146569024
P00920,0.22041554759626827
E9PWE8,0.046034356875679715
Q8JZQ9,-0.022741013648312134
P50580,0.07931051516717229
Q3U1J4,-0.03426421878271385
P17742,1.2232858102801083
P62960,-0.049387565708119203
Q02257,-0.03406989498726775
P14211,0.09250591846315373
P09405,0.18529733852809432
P48722,-0.03987094900217085
Q11136,-0.0031641845488890987
Q61696,0.12961456591778012
Q8BZF8,-0.007457390530374812
P46471,-0.032438632578958425
P06745,0.24195824153283826
Q8BGQ7,-0.01544899017417375
P50247,0.23544887733263337
Q6GT24,0.1739416310494448
Q8R146,-0.050868920618927956
Q8BL66,-0.012164343635078774
Q80T06,0.05103888122877547
P80314,0.051161599370505385
Q91VB8,5.099362828728642
P28271,0.02115752918563285
P06684,-0.05016465263221663
P32261,0.22804140015661062
P08003,0.04178645000241978
