Accession,luminal protein estrus
E9QPE7,1.5963534762531812
Q8BTM8,2.1046219591880213
E9PVG8,1.2517162327076232
P07724,56.04572949297462
P01027,2.375383410489101
Q9JHU4,1.0466579505628322
Q921I1,6.706722150992541
P26039,0.4687487289563393
Q8VDD5,0.6956084164735392
Q61838,1.463369684645922
Q80X90,0.32938831660178447
P19096,0.3877606196934991
P08071,0.5669459973578654
E9Q616,1.1135472438345586
Q6PDN3,0.3461013218472462
Q64727,0.6063068386164863
A0A087WSN6,0.1416906331257564
Q68FD5,0.23128236060241403
P57780,0.23037033801841153
Q01853,0.5637996861202933
P63260,8.152956557987473
P58252,1.4421856450538284
Q3U2G2,0.24076895807754767
F8WIT2,1.0496312575080176
P28665,0.510768989064919
Q8VHX6,0.03554544800242169
P11499,1.6194888339163416
P20918,0.3905257820297129
P63017,1.1659541036501402
P06909,0.36008735371056705
P13020,1.3859631236282821
Q6URW6,1.5051463330762815
P99024,0.8278890707802733
P21614,0.618839537873617
P10126,2.2130119389414347
G3X8Q5,4.625041431783376
Q02053,0.2956736334835662
E9Q0B5,0.0872614158019301
Q9JKF1,0.15175741544153237
Q62261,0.25190003906449204
P05064,0.8679677170205546
P16546,0.026835187064964475
P52480,0.8366980134113613
A0A0R4J0I1,1.3758425048057874
Q9D1A2,0.9101831510627403
P24527,0.19645704261506183
P26040,0.5325912609327083
Q8CGC7,0.11165765005227843
P37804,0.9686309526411844
P15626,1.9501827490096164
P27546,0.004975253755413439
Q91X72,1.1357862412932036
E9Q5I3,-0.02973871314295225
Q61879,0.12064492940355316
O08677,0.4480909319076024
Q9DBD0,0.026103608580156742
Q8K0E8,0.4998417826971893
Q9D7Z6,0.11995941988222056
Q8VCM7,0.23573953213350446
P23116,0.5823140766932756
P08113,0.2636423604138843
Q9CWJ9,0.17089209939329314
O08553,0.05253347825964349
Q8BFW7,0.023104008480538812
Q61768,-0.014848734897168113
Q8CI94,0.12730904056592549
Q9Z1Q9,0.04272446887172927
A0A0A0MQF6,1.7449056887404018
Q00897,2.516382198294139
P30416,0.2429463381872039
P97449,0.14167029677778925
Q04447,0.5307427388983305
A1BN54,0.08738248180976692
Q61598,0.2543541344106823
P17563,0.15205986547192551
P06728,0.45859142740414793
Q922D8,0.47803936966172694
Q8CIE6,0.054611555494260625
P27773,0.49943275055050534
Q00612,0.42702814776962084
P17182,1.5622432776568054
E9PV24,0.2881371075356538
Q61781,1.3314855819395024
P60843,0.22558647453626093
P09411,0.6095139824163865
Q9WU78,0.02576316726348494
P62259,0.7947779149400368
O55029,-0.016575222400705754
Q8VCT3,0.06232981842787554
Q922U2,1.7475559493807533
Q8BND5,0.002509672596339141
Q6ZQ38,0.21045707597056584
P10649,1.7679935165394678
A0A0R4J071,-0.07441116314501436
Q922B2,0.07799967113458721
P20029,0.3553043046506474
Q78PY7,0.04745497374928326
P45376,0.19030049990563627
P42932,0.24011842577754564
P40142,0.7471289790126096
P80318,0.1379860585324102
P21981,0.23094854298385406
P26041,0.11871818390576877
B8JJN0,0.07328701647397977
P40124,0.22794881755877894
A6X935,0.004317495408087863
Q9D0F9,0.09172588642537499
P05213,0.41598889721077575
P19221,0.015230284675326727
Q00623,2.6781169799792215
O88342,0.19352262102873963
Q99K51,0.8458997373386394
Q3UU35,0.05733873241168981
Q9QXS1,-0.024428598333770733
P07356,0.3956279890377674
P17751,0.6512388700626754
P35700,1.1754322350340236
Q61702,-0.04514668606243437
P07901,0.2559549151401896
Q91WT9,0.24893125058162674
Q3V117,0.026342183348496993
O88569,3.2848731438129812
P24549,0.016573921247474595
O09131,1.4999670746279774
P63158,0.5022217384261155
P11983,0.011124502431880626
P19001,1.141777993780325
Q543K9,0.18724508356463881
Q3UPL0,-0.017434108009767905
Q11011,0.08117012956968858
Q7TSV4,0.04662615268795326
A8DUK4,3.4337680632776832
O70209,0.1365378812048877
P80313,0.04790126701301369
Q76MZ3,0.05463025906268016
E9Q557,0.023819687778015207
A0A1B0GSX0,0.7588672617342117
P60335,0.08973376024925962
Q8C1A5,0.009059711592998657
Q9DBJ1,0.39318880815881085
B2M1R6,0.17315403132222135
Q9CPY7,0.06291498167913068
Q501J6,-0.007870973536589233
O35639,0.07193584656646566
P56399,0.4781736583309621
P10107,0.3283061651839715
Q9DCD0,0.41813262130417345
Q9D8E6,0.049905672624504564
E9QA15,-0.014102814219039467
Q64737,-0.017607660227723643
P29341,0.034738707480724385
Q9QZE5,-0.024308425168804115
Q5SUR0,0.007963637736066375
P01029,0.13711764225083853
P70441,0.0424008872195469
Q99JY9,0.11026577684651068
O89020,0.02586264918492987
Q9Z1Z0,-0.027660873875624586
Q9CWK8,0.04417006618832609
Q61699,-0.0359647907516455
P10605,0.033156655792290504
Q99KC8,0.001532606416269818
P23953,0.7998801648124192
P20152,-0.04096069928580215
P47856,-0.03795384158790458
Q61233,0.06340629453839967
P12658,0.6232710913634399
A0A087WS16,-0.01816520110876374
P00920,0.28932990935123015
E9PWE8,0.05136479683382407
Q8JZQ9,-0.012206216503079759
P50580,0.11760755486899427
Q3U1J4,-0.020429962223874824
P17742,1.4217515193384922
P62960,-0.048455832023562184
Q02257,-0.014297895151107704
P14211,0.15958601691735766
P09405,0.22782810103575366
P48722,-0.05002338630061942
Q11136,-0.012614156628307352
Q61696,0.1545064448744235
Q8BZF8,-0.01726284692527532
P46471,-0.022985604779153464
P06745,0.24432585178022204
Q8BGQ7,-0.010579399172683036
P50247,0.26663037256405964
Q6GT24,0.2467981016449525
Q8R146,-0.039433588001070004
Q8BL66,0.008606409414360024
Q80T06,0.1142560483692905
P80314,0.05551757714262075
Q91VB8,3.038227738917863
P28271,0.053237284313953664
P06684,-0.053201769738613396
