Accession,luminal protein 2.5
E9QPE7,2.535860258196977
Q8BTM8,2.671898006447435
E9PVG8,2.387630962724928
P07724,4.021326999230766
P01027,2.6054894994255027
Q9JHU4,2.4039952648609373
Q921I1,3.2075539292581943
P26039,2.0657568859366737
Q8VDD5,2.078793512491578
Q61838,2.4028251152109537
Q80X90,1.8910474247582112
P19096,1.8316473582068937
P08071,1.931307345178852
E9Q616,2.3825672714370576
Q6PDN3,1.8905257924855385
Q64727,2.16731186691516
A0A087WSN6,1.4436789032055883
Q68FD5,1.729350642990454
P57780,1.9607742547460174
Q01853,2.0223283019610467
P63260,3.2703777000340426
P58252,2.414377069601243
Q3U2G2,1.624797621875482
F8WIT2,2.1930966920008617
P28665,1.911313993885169
Q8VHX6,1.3391831740312277
P11499,2.487439931643072
P20918,1.8476840040544298
P63017,2.2956098101756917
P06909,2.20106714492238
P13020,2.411052386259738
Q6URW6,2.067294903540243
P99024,2.1253751414027713
P21614,2.153381012705893
P10126,2.52977166434393
G3X8Q5,2.7974608086011545
Q02053,1.6983550265279568
E9Q0B5,1.5574704507528123
Q9JKF1,1.557466283567172
Q62261,1.951313097430135
P05064,2.224900840483931
P16546,1.331840858750649
P52480,2.1178848298705724
A0A0R4J0I1,2.456160458528272
Q9D1A2,1.8083194478031461
P24527,1.6411355442642332
P26040,1.993600133262843
Q8CGC7,1.2628973303317848
P37804,2.3086856894003005
P15626,2.5791012481742195
P27546,1.0415952543868863
Q91X72,2.4107122974604187
E9Q5I3,1.4706504926197428
Q61879,1.2114465912559402
O08677,1.953923452468043
Q9DBD0,1.2772067988738802
Q8K0E8,1.9131361357489705
Q9D7Z6,1.2201756965826827
Q8VCM7,1.683393950828959
P23116,1.944866011811635
P08113,1.6234641919033765
Q9CWJ9,1.502050387154457
O08553,1.3327671496678877
Q8BFW7,1.397522434344097
Q61768,0.9875713147865909
Q8CI94,1.5067288004351154
Q9Z1Q9,1.22654156518987
A0A0A0MQF6,2.4404478031536176
Q00897,2.731478203019225
P30416,1.572334449445002
P97449,1.3041636537226327
Q04447,2.106503304311133
A1BN54,1.5125687236195735
Q61598,1.630309942436099
P17563,1.6879710745916405
P06728,1.9342941907513176
Q922D8,2.116307634249645
Q8CIE6,1.233837493922988
P27773,1.8805195102367234
Q00612,1.61260386784739
P17182,2.425625687372183
E9PV24,1.7307486402363557
Q61781,2.64262052690874
P60843,1.5708752016164258
P09411,2.1193604151507497
Q9WU78,1.1233739479712541
P62259,2.111930411544798
O55029,1.0966179985703846
Q8VCT3,1.1111187763799144
Q922U2,2.7865087109286844
Q8BND5,0.9133446436059817
Q6ZQ38,1.7122256997110994
P10649,2.586199178869953
A0A0R4J071,-0.21762811543996854
Q922B2,1.282144589464104
P20029,1.8094393484309215
Q78PY7,1.3151187946546903
P45376,1.6734523402907104
P42932,1.6502432107351563
P40142,2.073329231320488
P80318,1.4025098521682846
P21981,1.502463849341573
P26041,1.588451818948526
B8JJN0,1.379356394578558
P40124,1.6264600691441078
A6X935,0.9925603638021284
Q9D0F9,1.451342463235144
P05213,1.8558994578598573
P19221,1.174151721083323
Q00623,2.6951799432213956
O88342,1.5574259700238895
Q99K51,1.86430079420335
Q3UU35,1.1406965437097079
Q9QXS1,1.067816374117752
P07356,1.9813770649414155
P17751,1.9887984562907284
P35700,2.3217639410485726
Q61702,0.838573549102121
P07901,1.8085281510439888
Q91WT9,1.468204969750467
Q3V117,1.1212894261893407
O88569,2.5963782908158626
P24549,1.4336310975338784
O09131,2.1627236649096573
P63158,1.9360299020893805
P11983,0.9858684162665665
P19001,2.5061576861574038
Q543K9,1.4534367465890528
Q3UPL0,0.941036550275742
Q11011,1.2552072393935194
Q7TSV4,1.3674619147119347
A8DUK4,3.063137281259976
O70209,1.6085695472428019
P80313,1.2136248280351882
Q76MZ3,1.34614085982746
E9Q557,1.2923038104310236
A0A1B0GSX0,2.0889161527269366
P60335,1.3860494522060736
Q8C1A5,1.1495621255942505
