Accession,luminal protein estrus
E9QPE7,2.4749414926301823
Q8BTM8,2.5991703215601856
E9PVG8,2.3670056716370045
P07724,4.123050764141893
P01027,2.6539897848289455
Q9JHU4,2.2886082982947045
Q921I1,3.1311580883937142
P26039,1.9516346087490004
Q8VDD5,2.1136417879726235
Q61838,2.436175858970385
Q80X90,1.8146039628189286
P19096,1.8769278245003438
P08071,2.0286938983317073
E9Q616,2.3156463939771075
Q6PDN3,1.8333092093132137
Q64727,2.0563498800567324
A0A087WSN6,1.5283786516944795
Q68FD5,1.6866301447967862
P57780,1.6852605596236294
Q01853,2.0264112775063503
P63260,3.221843827013042
P58252,2.42969397198527
Q3U2G2,1.7006442002080755
F8WIT2,2.2898438230589737
P28665,1.9861680370001127
Q8VHX6,1.2259787963292101
P11499,2.48137050351904
P20918,1.8796845270318134
P63017,2.3357935430042804
P06909,1.8484093218774047
P13020,2.412044141548631
Q6URW6,2.4487022653235586
P99024,2.18742188271137
P21614,2.064824450705832
P10126,2.6218891637671797
G3X8Q5,2.9591992674005576
Q02053,1.7744388718872601
E9Q0B5,1.397361136819699
Q9JKF1,1.5490613539233369
Q62261,1.7165714108310057
P05064,2.207665489170353
P16546,1.1897822282965316
P52480,2.1919466859984533
A0A0R4J0I1,2.4087953149916164
Q9D1A2,2.2280847979107774
P24527,1.6312702973026667
P26040,2.003147851372533
Q8CGC7,1.460635405758306
P37804,2.254965408439313
P15626,2.564773943841717
P27546,1.0843491230375049
Q91X72,2.3243016956854707
E9Q5I3,0.8446656173009383
Q61879,1.481951382851471
O08677,1.933678591813952
Q9DBD0,1.1866111326236053
Q8K0E8,1.9774292119280503
Q9D7Z6,1.4803591507597658
Q8VCM7,1.6932666120889175
P23116,2.0396865652578327
P08113,1.7328075091532695
Q9CWJ9,1.586027262249402
O08553,1.2894347341217165
Q8BFW7,1.1733804205129388
Q61768,0.9626609853492568
Q8CI94,1.4971550765500732
Q9Z1Q9,1.2538476004280803
A0A0A0MQF6,2.514768304836879
Q00897,2.68018890638714
P30416,1.7038025596988453
P97449,1.5283359338726539
Q04447,2.0017330903717947
A1BN54,1.397697153431263
Q61598,1.7200114020906156
P17563,1.5496688726839196
P06728,1.942891537326784
Q922D8,1.959491593163131
Q8CIE6,1.2966398345592236
P27773,1.9770989172347309
Q00612,1.9146349999550192
P17182,2.4652992048041944
E9PV24,1.7649704231883852
Q61781,2.3942849900724394
P60843,1.6780104557703683
P09411,2.0585331449098616
Q9WU78,1.1851281242364897
P62259,2.1700130262309973
O55029,0.9504045171374225
Q8VCT3,1.3224724972966757
Q922U2,2.51544904677882
Q8BND5,1.0708235215941508
Q6ZQ38,1.6543155041976338
P10649,2.5206657205271155
A0A0R4J071,-0.0688928327438511
Q922B2,1.3709151847690797
P20029,1.8432997208978221
Q78PY7,1.2713468276374065
P45376,1.6207667127368448
P42932,1.699696445865774
P40142,2.1437706047641782
P80318,1.520532109967227
P21981,1.6861293139296243
P26041,1.4774623227422676
B8JJN0,1.356864391374896
P40124,1.6816046564975333
A6X935,1.0807787479286735
Q9D0F9,1.4095958472340802
P05213,1.9043367648091436
P19221,1.1367657374610762
Q00623,2.7085443521733272
O88342,1.6262932192827848
Q99K51,2.1966271407525104
Q3UU35,1.3059307878742854
Q9QXS1,0.8902216582227869
P07356,1.88472902826181
P17751,2.0860492530882215
P35700,2.3393467481594743
Q61702,0.680114189690213
P07901,1.7222417677677098
Q91WT9,1.7123759886383605
Q3V117,1.187647612362328
O88569,2.8018556733659934
P24549,1.143219476301712
O09131,2.4471673296283147
P63158,1.9793464382338055
P11983,1.116476661142152
P19001,2.3266066273086246
Q543K9,1.615465359477802
Q3UPL0,0.9441859529044245
Q11011,1.380136742086227
Q7TSV4,1.2683275690745008
A8DUK4,2.8221760499759654
O70209,1.5174287675182447
P80313,1.2729645947802304
Q76MZ3,1.2967041840842524
E9Q557,1.1765711853559788
A0A1B0GSX0,2.150372836589182
P60335,1.4041758509251383
Q8C1A5,1.1059321607052588
Q9DBJ1,1.8823241944500848
B2M1R6,1.590210772759189
Q9CPY7,1.324374255921068
Q501J6,1.0091740500555095
O35639,1.3527570841475083
P56399,1.9596042011361123
P10107,1.8133667401718112
Q9DCD0,1.9063543405423788
Q9D8E6,1.2801624068880761
E9QA15,0.9678589449370277
Q64737,0.9429193236314903
P29341,1.222741108297078
Q9QZE5,0.8912031769734613
Q5SUR0,1.1002369968280121
P01029,1.5186736177624443
P70441,1.252626426614803
Q99JY9,1.4572458870938816
O89020,1.1855619655044436
Q9Z1Z0,0.8630215022849442
Q9CWK8,1.2592647244078274
Q61699,0.7849310800617091
P10605,1.2163263093066807
Q99KC8,1.06535388932991
P23953,2.1727380631580417
P20152,0.7308147908410111
P47856,0.7641264837233602
Q61233,1.3259650773565963
P12658,2.0677848220544757
A0A087WS16,0.9388269707400613
P00920,1.7664817654981428
E9PWE8,1.28533358152253
Q8JZQ9,0.9808219415008459
P50580,1.4748550716288
Q3U1J4,0.9218269066348331
P17742,2.4233556019787597
P62960,0.6357595802447601
Q02257,0.9665050671792647
P14211,1.5645386159815804
P09405,1.6814216571079523
P48722,0.6131905038901034
Q11136,0.9780637744090692
Q61696,1.5545545315457896
Q8BZF8,0.9454325204732033
P46471,0.901873907631117
P06745,1.7057926505229373
Q8BGQ7,0.9916628345607035
P50247,1.736850959633491
Q6GT24,1.7093381599272934
Q8R146,0.7480281607202784
Q8BL66,1.1035851878943606
Q80T06,1.4668983428211373
P80314,1.2997469082561748
Q91VB8,2.7661306837549646
P28271,1.2918873689294503
P06684,0.5638032135933359
P32261,1.673899942436852
P08003,1.3838279463583116
P19157,1.9096681183495192
O70570,0.9110818368279866
Q62523,1.2089792949504043
E9PYH0,0.4511889151986889
P62962,1.8719474533919556
P10518,1.33788614027574
Q8VDM4,1.011789260676218
P97447,1.2428679300788223
P62908,1.3195712509407478
Q9D0I9,0.948003145177655
Q8BG05,1.3670688626123773
O88844,1.5794498538451447
Q00519,1.1390245139322863
P63101,2.0489810831643336
Q9CZ44,0.9041381808458493
P48036,2.222232251286352
Q60864,1.3180775269640193
Q9EQK5,1.0695013598592578
P50446,1.3151274146982666
Q8VDJ3,0.816785473990659
P26645,1.01971517986085
P47754,0.9606020842498725
P68040,1.4137066697180478
P29699,2.1221681550649536
Q3U0V1,0.9955829688800415
A0A498WGD8,0.8596354605706763
E9PZF0,1.777072196460382
P48758,1.4833275449038825
P07758,2.288536176065997
Q60854,1.3159601847599756
P80316,1.5162515696947958
Q60710,0.9054877439663888
Q62318,0.9448652701779542
P05063,1.6724852637330794
P09103,1.6124620929001157
Q3TXS7,0.9457651893778058
P97429,1.2229994808198918
A2AMW0,1.2694640494283957
Q8CIB5,0.7686192089240318
Q3THS6,0.8081874336173369
