Accession,luminal protein 0.5
E9QPE7,0.8317572058423283
Q8BTM8,0.8661203349711798
E9PVG8,0.9516033231328072
P07724,1.0
P01027,0.9051164675339914
Q9JHU4,0.807332542856014
Q921I1,0.9006012989159458
P26039,0.7887734730741218
Q8VDD5,0.8177071593433858
Q61838,0.8361018156344878
Q80X90,0.7667258476302797
P19096,0.7896671339634411
P08071,0.8839176085215615
E9Q616,0.8211222761193882
Q6PDN3,0.7645504606430569
Q64727,0.791265352082903
A0A087WSN6,0.7508097353315065
Q68FD5,0.7532826284962227
P57780,0.783344083457089
Q01853,0.7967738172692678
P63260,0.9145611089450969
P58252,0.8309845078045756
Q3U2G2,0.7522365284264382
F8WIT2,0.8167169709051117
P28665,0.7917762276146537
Q8VHX6,0.7152968173581115
P11499,0.8398434316598471
P20918,0.7693048947093096
P63017,0.8213648094561934
P06909,0.8124115686601082
P13020,0.8236415355436962
Q6URW6,0.8252854283561868
P99024,0.8109383134130115
P21614,0.8008813406872851
P10126,0.8503110041259921
G3X8Q5,0.8841970771409178
Q02053,0.763437155798914
E9Q0B5,0.8116595263880668
Q9JKF1,0.7954111403612034
Q62261,0.7611813169460724
P05064,0.8278984983695545
P16546,0.7234881811743072
P52480,0.8292843173308503
A0A0R4J0I1,0.8382140460942065
Q9D1A2,0.8059900136116342
P24527,0.7547663400700425
P26040,0.793370421691149
Q8CGC7,0.7340601587650749
P37804,0.8199928657980506
P15626,0.8374374208987316
P27546,0.7591194412241349
Q91X72,0.8315118505252957
E9Q5I3,0.7549463030565827
Q61879,0.7562143747816806
O08677,0.7939347106982505
Q9DBD0,0.7189952759253394
Q8K0E8,0.7794637454765402
Q9D7Z6,0.8312000281431974
Q8VCM7,0.7644751537034573
P23116,0.7805815837875173
P08113,0.7536140369812718
Q9CWJ9,0.7595625956041604
O08553,0.7454216146594954
Q8BFW7,0.7195345525903346
Q61768,0.6885161308637318
Q8CI94,0.7338096701133229
Q9Z1Q9,0.7172486553505145
A0A0A0MQF6,0.8410551478322604
Q00897,0.8667080612942314
P30416,0.7577150948311794
P97449,0.7932315692728958
Q04447,0.8210862931294852
A1BN54,0.7279005244797853
Q61598,0.7506255487076418
P17563,0.7400635020316637
P06728,0.7859957741237066
Q922D8,0.7847545117241016
Q8CIE6,0.7182071178382955
P27773,0.8047922883350307
Q00612,0.7849495773884055
P17182,0.8419092359984288
E9PV24,0.7761677395038535
Q61781,0.7969353587658425
P60843,0.7743806307732747
P09411,0.7968567967966024
Q9WU78,0.7261849823100738
P62259,0.799355900831244
O55029,0.7003668022842255
Q8VCT3,0.7262547553256121
Q922U2,0.8307842553484802
Q8BND5,0.8056118133657035
Q6ZQ38,0.7656318885450458
P10649,0.8250386003624371
A0A0R4J071,0.7863717084505871
Q922B2,0.7162695190871058
