Accession,luminal protein estrus
E9QPE7,0.8506063390576468
Q8BTM8,0.861867121257732
E9PVG8,0.8408224444314132
P07724,1.0
P01027,0.8668362579831769
Q9JHU4,0.8337160766593734
Q921I1,0.9100894093290258
P26039,0.8031709338143791
Q8VDD5,0.8178561528235296
Q61838,0.8470924094710028
Q80X90,0.7907497247291274
P19096,0.7963991012732635
P08071,0.8101560103377446
E9Q616,0.8361669579017311
Q6PDN3,0.7924452708321156
Q64727,0.8126629001588708
A0A087WSN6,0.7648046931572681
Q68FD5,0.7791494761839797
P57780,0.779025329474458
Q01853,0.809949101070539
P63260,0.9183096619068031
P58252,0.8465048556945274
Q3U2G2,0.7804197870054346
F8WIT2,0.8338280713983811
P28665,0.8063012330976249
Q8VHX6,0.7373935122104988
P11499,0.8511890998548381
P20918,0.7966489839056982
P63017,0.8379932059562425
P06909,0.793814027828754
P13020,0.8449049782898437
Q6URW6,0.84822787162506
P99024,0.8245439851464343
P21614,0.8134310817085215
P10126,0.8639264816826396
G3X8Q5,0.894502118945097
Q02053,0.7871089406621459
E9Q0B5,0.7529285472408268
Q9JKF1,0.766679486690415
Q62261,0.7818635167050902
P05064,0.8263789766314406
P16546,0.7341124568184672
P52480,0.824954138125843
A0A0R4J0I1,0.8446104868374208
Q9D1A2,0.8282298947346111
P24527,0.774131356069425
P26040,0.807840376572554
Q8CGC7,0.7586640739098317
P37804,0.8306665006591322
P15626,0.8587492449862123
P27546,0.7245554220687511
Q91X72,0.8369515219055408
E9Q5I3,0.7028291949256689
Q61879,0.7605962709489215
O08677,0.801543301986661
Q9DBD0,0.7338250113195759
Q8K0E8,0.8055090980781715
Q9D7Z6,0.7604519423019309
Q8VCM7,0.7797510419670459
P23116,0.8111524459406507
P08113,0.7833352456794429
Q9CWJ9,0.770030279304927
O08553,0.7431455063405101
Q8BFW7,0.7326257070299557
Q61768,0.7135249420534123
Q8CI94,0.7619744171075175
Q9Z1Q9,0.7399196934184938
A0A0A0MQF6,0.8542164596862168
Q00897,0.8692110900108265
P30416,0.7807060780269427
P97449,0.7648008209796763
Q04447,0.8077121348783216
A1BN54,0.752959005628876
Q61598,0.7821753363743112
P17563,0.7667345555218956
P06728,0.8023784138824651
Q922D8,0.8038831339614709
Q8CIE6,0.7437986161496851
P27773,0.8054791583561653
Q00612,0.7998170864046757
P17182,0.8497323092204971
E9PV24,0.7862506685566365
Q61781,0.8432951914267285
P60843,0.7783681403089256
P09411,0.8128608032559855
Q9WU78,0.7336905833080423
P62259,0.8229659509424053
O55029,0.7124139485725554
Q8VCT3,0.7461402303405313
Q922U2,0.8542781658683382
Q8BND5,0.7233293873931398
Q6ZQ38,0.7762202999791059
P10649,0.8547510337798722
A0A0R4J071,0.6200192479785055
Q922B2,0.7505313411439738
P20029,0.7933508655800553
Q78PY7,0.7415059193208974
P45376,0.7731792535732923
P42932,0.7803338773553173
P40142,0.8205871939736248
P80318,0.7640934395925721
P21981,0.7791040781281277
P26041,0.7601893579271355
B8JJN0,0.7492577001903152
P40124,0.7786939383698154
A6X935,0.7242317836925429
Q9D0F9,0.7540375684756249
P05213,0.7988835979058965
P19221,0.7293067514000633
Q00623,0.8717813830896134
O88342,0.7736802064284162
Q99K51,0.825378400207654
Q3UU35,0.7446407991003996
Q9QXS1,0.7069586442583046
P07356,0.7971062451561529
P17751,0.8153550141719162
P35700,0.8383152879537104
Q61702,0.6879133512926139
P07901,0.7823775089483638
Q91WT9,0.781483220634076
Q3V117,0.7339189635261054
O88569,0.8802396328678903
P24549,0.7298917536743871
O09131,0.8480887366376005
P63158,0.8056828859826647
P11983,0.727467638277641
P19001,0.8371604535457887
Q543K9,0.7726987098466068
Q3UPL0,0.7118502638141287
Q11011,0.7513672336609395
Q7TSV4,0.7412322371701804
A8DUK4,0.8820815832203124
O70209,0.7638121356173897
P80313,0.7416525626049298
Q76MZ3,0.7438044491434618
E9Q557,0.732914935450272
A0A1B0GSX0,0.8211856564662378
P60335,0.7535462702923774
Q8C1A5,0.7265118269426131
Q9DBJ1,0.7968882578337697
B2M1R6,0.7704094956356953
Q9CPY7,0.7463126161695766
Q501J6,0.7177411412692216
O35639,0.7488853913428857
P56399,0.8038933413655708
P10107,0.7906375760847089
Q9DCD0,0.7990664820327117
Q9D8E6,0.7423050117599425
E9QA15,0.7139961136108268
Q64737,0.7117354495919098
P29341,0.7371000304150436
Q9QZE5,0.7070476144995267
Q5SUR0,0.7259955860622325
P01029,0.7639249756690297
P70441,0.7398089995283703
Q99JY9,0.7583568293533792
O89020,0.7337299090593185
Q9Z1Z0,0.7044930729858184
Q9CWK8,0.7404107312380741
Q61699,0.6974145289462218
P10605,0.7365185578622524
Q99KC8,0.7228335899347506
P23953,0.8232129632308326
P20152,0.6925091317719921
P47856,0.695528686262646
Q61233,0.7464568169469565
P12658,0.8136994259992597
A0A087WS16,0.7113644962874861
P00920,0.7863876649102731
E9PWE8,0.7427737553823265
Q8JZQ9,0.715171150695398
P50580,0.7599530223906698
Q3U1J4,0.7098235172657461
P17742,0.8459303110838954
P62960,0.6838928062964399
Q02257,0.7138733907075602
P14211,0.7680824305851024
P09405,0.7786773503017592
P48722,0.6818470214695533
Q11136,0.714921135307187
Q61696,0.7671774184291716
Q8BZF8,0.7119632595334847
P46471,0.7080148680338841
P06745,0.7808864707708936
Q8BGQ7,0.7161538286828905
P50247,0.7837017662011831
Q6GT24,0.7812078551833096
Q8R146,0.6940694459986453
Q8BL66,0.7262990844585964
Q80T06,0.7592317808648503
P80314,0.7440802583456418
Q91VB8,0.8770013239296585
P28271,0.743367826607264
P06684,0.6773702866868594
P32261,0.7779955408424576
P08003,0.7517018246550105
P19157,0.7993668610225733
O70570,0.7088495252233049
Q62523,0.7358525841973671
E9PYH0,0.667162309216895
P62962,0.7959476531286565
P10518,0.7475374074530591
Q8VDM4,0.7179781982990656
P97447,0.7389244358965753
P62908,0.7458772454633149
Q9D0I9,0.712196275051415
Q8BG05,0.7501826894143306
O88844,0.7694340669432772
Q00519,0.7295114992842706
P63101,0.8119949520054779
Q9CZ44,0.708220114173063
P48036,0.8276993878190977
Q60864,0.7457418461319854
Q9EQK5,0.7232095394040848
P50446,0.7454744317807709
Q8VDJ3,0.7003019858693789
P26645,0.7186966470717245
P47754,0.7133383119688227
P68040,0.7544101959651849
P29699,0.8186290294867944
Q3U0V1,0.7165091711516666
A0A498WGD8,0.7041861435991923
E9PZF0,0.7873476396399554
P48758,0.7607210138228396
P07758,0.8337095391051177
Q60854,0.7455499186252371
P80316,0.7637054279521042
Q60710,0.7083424459739545
Q62318,0.7119118408564936
P05063,0.7778673066080734
P09103,0.772426477297114
Q3TXS7,0.7119934144670194
P97429,0.7371234507171663
A2AMW0,0.7413352539807718
Q8CIB5,0.6959359315084183
Q3THS6,0.6995226123469408
Q08642,0.7664073624950083
Q9WVA4,0.7631881259579597
P11352,0.758713611172979
Q9CPX4,0.7424040496390787
Q9JHR7,0.7114020720681262
P50396,0.7209782526215687
Q80X19,0.7061036390702706
Q99PL5,0.70894409246064
Q8R1B4,0.7208203697350007
Q9QYB1,0.7893595985721221
A0A6I8MX27,0.7697644554415923
Q8BU30,0.7055046306181506
P97371,0.7630216425437353
Q9CPV4,0.7398257523212185
Q62010,0.7484166457168265
A0A0A6YVP0,0.7275095614530193
Q6A0A9,0.6632720673245524
Q9R098,0.612873646745536
O08529,0.8082600753903022
O70133,0.6730720121146627
Q8CIN4,0.7320512381165519
O08739,0.7191364321252204
Q8R0Y6,0.6894901020504056
P18760,0.821402611870602
P12382,0.6920975134464855
B2RQC6,0.6819117930347183
Q7TMY8,0.6684391845053816
Q9D0E1,0.6757744069075573
Q3UW53,0.6998700315278165
Q03401,0.7337208038845084
P00342,0.6503171983603703
P55264,0.7601857378450716
A0A7N9VSW1,0.6968134878574217
Q9QUI0,0.7114101769637012
P80315,0.7379938581935084
P15105,0.7249396504298062
Q8BJY1,0.7047113139800594
Q9D819,0.7354223160677315
Q19LI2,0.6756408504791797
Q9JIF7,0.7147941185204595
G3UXX3,0.7261087692941025
Q91WQ3,0.7367178276557407
Q99KQ4,0.6784948412233666
P18654,0.6910975170146163
Q3TVK3,0.7043118534072924
P51125,0.6640019254848244
E9QK48,0.7093216283214744
Q9QUR6,0.7228254626364342
P14873,0.6551333347103745
P70296,0.7972471358318526
P68033,0.7715120758864895
Q91ZJ5,0.7541072590371837
A2A513,0.8482323495544498
Q5XJY5,0.7119274616390535
P68510,0.7659383573777715
P28798,0.6616490240409987
Q64514,0.6566088903950943
Q8K183,0.7750025324613768
P62715,0.7517544047969928
Q8BG32,0.751374874924885
Q9Z2X1,0.7643748096654253
Q8CI51,0.6884835423886787
P01872,0.752064254134146
O70400,0.7251320890726356
P03958,0.7078085106286525
Q5SQ27,0.5849008961509068
Q91X52,0.7708788341473077
Q91VI7,0.7670537920699244
Q01279,0.6754394204135735
Q07076,0.7168777144633548
P56959,0.7148116235340269
P68254,0.738744102226554
P16045,0.7669414744343199
B2RU69,0.6774404468301675
Q61129,0.7264484101200278
Q07797,0.6956370320175392
Q8BH64,0.771891200752816
E9Q7Q3,0.7218935399486506
P97351,0.7493208311284227
Q9JK81,0.7876096896437356
P08228,0.8183001420639326
P80317,0.7459255379440116
Q93092,0.8292026832571896
Q61171,0.7508115708616983
Q9Z0S1,0.699120057859372
Q6ZWX6,0.7059385728928989
