Or10d1b	Q60888
Or10h28	Q8VBW9
Or10p22	Q60885
Ywhab	Q9CQV8
Ywhae	P62259
Ywhah	P68510
Ywhag	P61982
Sfn	O70456
Ywhaq	P68254
Ywhaz	P63101
Accs	A2AIG8
Accsl	Q3UX83
Ppp2r5a	Q6PD03
Ppp2r5b	Q6PD28
Ppp2r5e	Q61151
Ppp2r5c	Q60996
Ppp2r1a	Q76MZ3
Ppp2r1b	Q7TNP2
Ppp2r2a	Q6P1F6
Ppp2r2b	Q6ZWR4
Ppp2r2d	Q925E7
Ppp2r2c	Q8BG02
Spata31f1-2	C0HKD1
Spata31f1-3	C0HKD2
Spata31f1-4	C0HKD3
Hsd3b1	P24815
Hsd3b2	P26149
Hsd3b3	P26150
Hsd3b4	Q61767
Hsd3b5	Q61694
Hsd3b6	O35469
Hsd3b7	Q9EQC1
Sh3bp1	P55194
Sh3bp2	Q06649
Sh3bp5l	Q99LH9
Sh3bp5	Q9Z131
Haao	Q78JT3
Hibadh	Q99L13
Mpg	Q04841
Eif4ebp1	Q60876
Eif4ebp2	P70445
Eif4ebp3	Q80VV3
Eif4enif1	Q9EST3
Slc3a2	P10852
Or56b34	Q6W049
Htr1a	Q64264
Htr1b	P28334
Htr1d	Q61224
Htr1f	Q02284
Htr2a	P35363
Htr2b	Q02152
Htr2c	P34968
Htr3a	P23979
Htr3b	Q9JHJ5
Htr4	P97288
Htr5a	P30966
Htr5b	P31387
Htr6	Q9R1C8
Htr7	P32304
Bzw2	Q91VK1
Bzw1	Q9CQC6
Nt5c1a	A3KFX0
Nt5c1b	Q91YE9
Nt5c3a	Q9D020
Nt5c3b	Q3UFY7
Nt5c2	Q3V1L4
Nt5e	Q61503
Pgd	Q9DCD0
Pgls	Q9CQ60
Scg5	P12961
Nudt1	P53368
Arl14epl	Q3UKZ7
Aldh16a1	Q571I9
Atg16l1	Q8C0J2
Atg16l2	Q6KAU8
Orm1	Q60590
Orm2	P07361
Orm3	Q63805
Serpina1a	P07758
Serpina1b	P22599
Serpina1c	Q00896
Serpina1d	Q00897
Serpina1e	Q00898
Serpina1f	Q9DCQ7
A1bg	Q19LI2
A1cf	Q5YD48
Serpinf2	Q61247
A2m	Q6GQT1
A3galt2	Q3V1N9
A4galt	Q67BJ4
A4gnt	Q14BT6
App	P12023
Atxn7l3b	Q3UD01
Adora1	Q60612
Adora2a	Q60613
Adora2b	Q60614
Adora3	Q61618
Slc7a10	P63115
Aadac	Q99PG0
Aaas	P58742
Slc1a5	P51912
Aacs	Q9D2R0
Aadat	Q9WVM8
Aagab	Q8R2R3
Aak1	Q3UHJ0
Prkab1	Q9R078
Prkab2	Q6PAM0
Prkag1	O54950
Prkag2	Q91WG5
Prkag3	Q8BGM7
Aamdc	Q8R0P4
Prkaa1	Q5EG47
Prkaa2	Q8BRK8
Aar2	Q9D2V5
Aard	Q811W1
Aarsd1	Q3THG9
Aass	Q99K67
Got1l1	Q7TSV6
Got1	P05201
Aatf	Q9JKX4
Got2	P05202
Abhd17a	Q99JW1
Abhd17b	Q7M759
Abhd17c	Q8VCV1
Apbb1ip	Q8R5A3
Abca8a	Q8K442
Abca8b	Q8K440
Abca1	P41233
Abca2	P41234
Abca3	Q8R420
Abca4	O35600
Abca5	Q8K448
Abca6	Q8K441
Abca7	Q91V24
Abca9	Q8K449
Abca12	E9Q876
Abca13	Q5SSE9
Abca17	E9PX95
Abcb5	B5X0E4
Abcb6	Q9DC29
Abcb7	Q61102
Abcb9	Q9JJ59
Abcb10	Q9JI39
Abcb11	Q9QY30
Abcc9	P70170
Abcd1	P48410
Abcd2	Q61285
Abcd3	P55096
Abcd4	O89016
Abce1	P61222
Abcf1	Q6P542
Abcf2	Q99LE6
Abcf3	Q8K268
Abcg1	Q64343
Abcg2	Q7TMS5
Abcg3	Q99P81
Abcg4	Q91WA9
Abcg5	Q99PE8
Abcg8	Q9DBM0
Abhd12	Q99LR1
Abhd18	Q8C1A9
Apobec1	P51908
Apobec2	Q9WV35
Apobec3	Q99J72
Apobec4	Q497M3
Abhd15	Q5F2F2
Abhd1	Q9QZC8
Abhd2	Q9QXM0
Abhd3	Q91ZH7
Abhd4	Q8VD66
Abhd5	Q9DBL9
Abhd6	Q8R2Y0
Abhd8	Q8R0P8
Abhd10	Q6PE15
Abhd11	Q8K4F5
Abhd13	Q80UX8
Abhd14a	Q922Q6
Abhd14b	Q8VCR7
Abhd16a	Q9Z1Q2
Abhd16b	Q80YU0
Abi1	Q8CBW3
Abi2	P62484
Abi3	Q8BYZ1
Abitram	Q80ZQ9
Abl1	P00520
Abl2	Q4JIM5
Ablim1	Q8K4G5
Ablim2	Q8BL65
Ablim3	Q69ZX8
Abracl	Q4KML4
Abra	Q8BUZ1
Abraxas1	Q8BPZ8
Abraxas2	Q3TCJ1
Abr	Q5SSL4
Abt1	Q9QYL7
Abtb1	Q99LJ2
Abtb2	Q7TQI7
Abtb3	Q6GQW0
Acaca	Q5SWU9
Acacb	E9Q4Z2
Acad8	Q9D7B6
Acad9	Q8JZN5
Acadl	P51174
Acadm	P45952
Acads	Q07417
Acadvl	P50544
Acap1	Q8K2H4
Acap2	Q6ZQK5
Slc33a1	Q99J27
Acbd5	Q5XG73
Acbd6	Q9D061
Acbd7	Q9D258
Acsbg1	Q99PU5
Acsbg2	Q2XU92
Dbi	P31786
Acad10	Q8K370
Acad11	Q80XL6
Acadsb	Q9DBL1
Acd	Q5EE38
Ace2	Q8R0I0
Ace3	D0G895
Acer1	Q8R4X1
Acer2	Q8VD53
Acer3	Q9D099
Ache	P21836
Ace	P09470
Chrna2	Q91X60
Chrna3	Q8R4G9
Chrna4	O70174
Chrna5	Q2MKA5
Chrna6	Q9R0W9
Chrna7	P49582
Chrna1	P04756
Chrnb2	Q9ERK7
Chrnb3	Q8BMN3
Chrnb4	Q8R493
Chrnb1	P09690
Chrnd	P02716
Chrne	P20782
Chrng	P04760
Acin1	Q9JIX8
Tnk2	O54967
Atpsckmt	Q9D1Z3
Ackr1	Q9QUI6
Ackr2	O08707
Ackr3	P56485
Ackr4	Q924I3
Actl10	A2AKE7
Actl6a	Q9Z2N8
Actl6b	Q99MR0
Actl7a	Q9QY84
Actl7b	Q9QY83
Acly	Q91V92
Chrm1	P12657
Chrm2	Q9ERZ4
Chrm3	Q9ERZ3
Chrm4	P32211
Chrm5	Q920H4
Acmsd	Q8R519
Acnat1	A2AKK5
Acnat2	Q8BGG9
Acot10	Q32MW3
Acot11	Q8VHQ9
Acot12	Q9DBK0
Acot13	Q9CQR4
Scd1	P13516
Aco1	P28271
Aco2	Q99KI0
Acot1	O55137
Acot2	Q9QYR9
Acot3	Q9QYR7
Acot4	Q8BWN8
Acot5	Q6Q2Z6
Acot6	Q32Q92
Acot8	P58137
Acot9	Q9R0X4
Acox1	Q9R0H0
Acox2	Q9QXD1
Acox3	Q9EPL9
Acoxl	Q9DBS4
Acp7	Q8BX37
Apeh	Q8R146
Ndufab1	Q9CR21
Acrbp	Q3V140
Acr	P23578
Acss1	Q99NB1
Acss2	Q9QXG4
Acsf2	Q8VCW8
Acsf3	Q3URE1
Aasdh	Q80WC9
Acsl1	P41216
Acsl3	Q9CZW4
Acsl4	Q9QUJ7
Acsl5	Q8JZR0
Acsl6	Q91WC3
Acsm1	Q91VA0
Acsm2	Q8K0L3
Acsm3	Q3UNX5
Acsm4	Q80W40
Acsm5	Q8BGA8
Acss3	Q14DH7
Acta2	P62737
Actbl2	Q8BFZ3
Actb	P60710
Actc1	P68033
Actg1	P63260
Mc2r	Q64326
Actg2	P63268
Actl9	Q8CG27
Actmap	J3QPC3
Actn1	Q7TPR4
Actn2	Q9JI91
Actn3	O88990
Actn4	P57780
Acta1	P68134
Actrt1	Q9D9J3
Actrt2	Q9D9L5
Actrt3	Q8BXF8
Actr1b	Q8R5C5
Actr1a	P61164
Acvr1b	Q61271
Acvr1c	Q8K348
Acvrl1	Q61288
Acvr1	P37172
Acy1	Q99JW2
Aspa	Q8R3P0
Acy3	Q91XE4
Acyp1	P56376
Acyp2	P56375
Adam26a	Q9R158
Aadacl4fm1	Q8BM81
Adam10	O35598
Adam11	Q9R1V4
Adam12	Q61824
Adam15	O88839
Adam17	Q9Z0F8
Adam18	Q9R157
Adam19	O35674
Adra1a	P97718
Adra1b	P97717
Adra1d	P97714
Adam21	Q9JI76
Adam22	Q9R1V6
Adam23	Q9R1V7
Adam24	Q9R160
Adam25	Q9R159
Adam28	Q9JLN6
Adam29	Q811Q4
Adra2a	Q01338
Adra2b	P30545
Adra2c	Q01337
Adam32	Q8K410
Adam33	Q923W9
Adad1	Q5SUE7
Adad2	Q9D5P4
Adal	Q80SY6
Adam2	Q60718
Adam3	F8VQ03
Adam5	Q3TTE0
Adam7	O35227
Adam8	Q05910
Adam9	Q61072
Adap2	Q8R2V5
Agps	Q8C0I1
Adat1	Q9JHI2
Adat2	Q6P6J0
Adat3	Q6PAT0
Ada	P03958
Adck1	Q9D0L4
Adck2	Q6NSR3
Adck5	Q80V03
Aadacl3	A2A7Z8
Adcy1	O88444
Adcy2	Q80TL1
Adcy3	Q8VHH7
Adcy4	Q91WF3
Adcy5	P84309
Adcy6	Q01341
Adcy7	P51829
Adcy8	P97490
Adcy9	P51830
Adcy10	Q8C0T9
Add1	Q9QYC0
Add2	Q9QYB8
Add3	Q9QYB5
Adamdec1	Q9R0X2
Adgb	G3UZ78
Adh1	P00329
Adh4	Q9QYY9
Adh7	Q64437
Adh5	P28474
Adig	Q8R400
C1qtnf12	Q8R2Z0
Adipoq	Q60994
Ssx2ip	Q8VC66
Adk	P55264
Adam1a	Q60813
Adam1b	Q8R534
Adm2	Q7TNK8
Adm	P97297
Adnp2	Q8CHC8
Adnp	Q9Z103
Adpgk	Q8VDL4
Aasdhppt	Q9CQF6
Adprh	P54923
Adprm	Q99KS6
Adprs	Q8CG72
Adrb1	P34971
Adrb2	P18762
Adrb3	P25962
Adrm1	Q9JKV1
Fdxr	Q61578
Adissp	Q9D1K7
Slc25a4	P48962
Slc25a5	P51881
Slc25a31	Q3V132
Adtrp	Q8C138
Fdx1	P46656
Aebp1	Q640N1
Aebp2	Q9Z248
Ado	Q6PDY2
Mamdc4	A2AJA7
Aen	Q9CZI9
Mllt10	O54826
Afap1l1	Q8BZI0
Afap1l2	Q5DTU0
Mllt11	P97783
Mllt3	A2AM29
Afdn	Q9QZQ1
Afm	O89020
Afap1	Q80YS6
Aff1	O88573
Aff2	O55112
Aff3	P51827
Aff4	Q9ESC8
Afg1l	Q3V384
Afg2a	Q3UMC0
Afg2b	A0A7N9VSG0
Afg3l1	Q920A7
Afg3l2	Q8JZQ2
Aftph	Q80WT5
Alg10b	Q3UGP8
Gla	P51569
Agap1	Q8BXK8
Agap2	Q3UHD9
Agap3	Q8VHH5
Agfg1	Q8K2K6
Agfg2	Q80WC7
Aggf1	Q7TN31
Agk	Q9ESW4
Pgm3	Q9CYR6
Ago1	Q8CJG1
Ago2	Q8CJG0
Ago3	Q8CJF9
Ago4	Q8CJF8
Agr2	O88312
Agr3	Q8R3W7
Adgra1	Q8C4G9
Adgra2	Q91ZV8
Adgra3	Q7TT36
Adgrb1	Q3UHD1
Adgrb2	Q8CGM1
Adgrb3	Q80ZF8
Adgrd1	Q80T32
Adgre1	Q61549
Adgre4	Q91ZE5
Adgre5	Q9Z0M6
Adgrf1	Q8VEC3
Adgrf2	E9Q4J9
ADGRF3	Q58Y75
Adgrf4	Q9D2L6
Adgrf5	G5E8Q8
Adgrg1	Q8K209
Adgrg2	Q8CJ12
Adgrg3	Q8R0T6
Adgrg4	B7ZCC9
Adgrg5	Q3V3Z3
Adgrg6	Q6F3F9
Adgrg7	Q8BM96
Agrn	A2ASQ1
Adgrl1	Q80TR1
Adgrl2	Q8JZZ7
Adgrl3	Q80TS3
Adgrl4	Q923X1
Agrp	P56473
Adgrv1	Q8VHN7
Agxt	O35423
Agxt2	Q3UEG6
Agtr2	P35374
Agtr1a	P29754
Agtr1b	P29755
Ahdc1	Q6PAL7
Ahi1	Q8K3E5
Ahrr	Q3U1U7
Ahr	P30561
Ahsa1	Q8BK64
Ahsa2	Q8N9S3
Ahsp	Q9CY02
Aicda	Q9WVE0
Aida	Q8C4Q6
Aif1l	Q9EQX4
Aif1	O70200
Aifm1	Q9Z0X1
Aifm3	Q3TY86
Aig1	Q9D8B1
Aim2	Q91VJ1
Aimp1	P31230
Aimp2	Q8R010
Ina	P46660
Aipl1	Q924K1
Aip	O08915
Aire	Q9Z0E3
Airim	Q499E6
Ajap1	A2ALI5
Ajm1	A2AJA9
Ajuba	Q91XC0
Akap17b	A2A3V1
Akr1a1	Q9JII6
Akr1c13	Q8VC28
Akr1c21	Q91WR5
Akr1d1	Q8VCX1
Akap10	O88845
Akap12	Q9WTQ5
Akap7	Q7TN79
Akain1	G3UWD5
Akap1	O08715
Akap2	O54931
Akap3	O88987
Akap4	Q60662
Akap5	D3YVF0
Akap8	Q9DBR0
Akap9	Q70FJ1
Akr1c18	Q8K023
